OP,A1,A2,A3,A4,A5
-,6878,1854,1013,6360,8585
+,3607,170,6616,6793,9901
+,2994,9617,9121,2936,8360
+,9520,9231,7786,5517,8668
+,7857,2226,202,201,312
+,9985,9774,8583,7340,7528
+,4979,926,5776,6955,4816
+,6163,3845,1647,1585,9218
+,5765,4901,21,8130,34
+,7048,5512,2017,674,4169
+,3205,830,6202,4135,2576
-,3794,9448,8597,404,6865
+,6744,5843,1919,9138,1060
+,8790,8285,352,5168,7231
+,7595,9961,2872,4434,7968
+,7359,7243,2471,5143,6149
+,3020,2893,283,3374,6037
+,2755,1950,3419,8557,929
+,9407,5743,8309,2964,7643
+,359,8774,4107,7809,1783
+,5335,6610,3186,1021,1648
+,8980,6248,1338,5029,8430
-,3245,8361,9812,8156,2455
+,6177,7235,7236,9235,1883
+,1671,2782,7461,1641,2602
+,7074,4902,1008,2513,8611
+,134,9233,9443,4510,5619
+,3509,1863,8728,9412,1720
+,7835,8852,7186,9016,2137
+,126,8147,788,8577,2656
+,6422,1606,1379,657,498
+,1008,3014,5177,2566,3337
+,7873,9498,340,1989,8809
-,7857,2226,202,201,312
+,7813,6606,1144,7967,4780
+,1410,9775,4820,7540,4314
+,4404,3643,4810,8804,7549
+,3010,447,3704,2198,542
+,4611,3763,5833,1136,2813
+,3705,2609,4485,7091,4193
+,6986,820,3108,3464,827
+,5702,4858,3235,6108,7000
+,9463,4640,91,1057,8715
+,1272,7788,6489,85,7628
-,7984,3485,5304,9755,8896
+,1915,9752,8607,5588,5022
+,8033,1096,3726,410,2002
+,1878,1870,9831,7200,5644
+,5778,5763,1401,6175,5686
+,2516,9194,9864,8047,2034
+,8996,5066,1820,8226,5366
+,8628,6750,5649,8773,1085
+,3682,1849,5842,1529,5409
+,6141,8765,6457,2813,942
+,314,6404,3953,8995,7269
-,7873,9498,340,1989,8809
+,2962,3544,5920,4675,5255
+,1673,6664,5043,3392,9784
+,4373,6940,8450,9130,6063
+,1838,8809,4130,5630,8105
+,8850,1442,4106,3750,1426
+,3891,4174,4922,148,8741
+,4590,6481,4567,7494,5507
+,5153,3170,6183,5127,8136
+,5472,7531,1893,4955,374
+,2097,9298,8721,4933,9047
-,1939,1500,6824,1710,6656
+,724,6329,9150,3352,4753
+,6283,6199,8359,3473,7840
+,6354,2996,8627,2369,871
+,8234,5830,4464,3797,5445
+,4018,6416,5810,5145,2225
+,3849,3550,1520,5227,7631
+,9006,1507,4562,4296,1015
+,5821,8586,7175,397,5797
+,917,5860,4006,2849,7011
+,145,4360,5861,9693,9650
-,1008,3014,5177,2566,3337
+,580,3295,4131,3473,2951
+,3667,9456,6326,6376,5430
+,6651,2266,2822,2389,5912
+,4623,8239,3445,5986,912
+,4094,4175,742,1798,9241
+,2199,5809,2947,7867,3449
+,6891,2371,6507,2910,8957
+,7150,1295,9366,8736,1967
+,6684,3817,5,8524,9004
+,7668,7413,8687,8194,4443
-,8212,6543,5236,4484,7887
+,8984,5918,9395,3168,4110
+,6810,4445,7683,3928,847
+,3330,6354,6207,8382,145
+,4306,7271,8630,5083,6460
+,3537,3386,4602,4102,8686
+,1944,2697,1078,3544,9830
+,2154,150,6867,5700,7828
+,8598,699,4495,8678,7372
+,7457,6886,8045,8421,8880
+,8405,987,6098,5633,7547
-,757,6288,3745,623,8958
+,5348,6424,178,7841,855
+,9196,1679,9563,2495,2459
+,9582,8233,7487,1369,8820
+,7592,8230,1724,9655,4440
+,9300,8933,8377,4697,7152
+,4749,7288,5856,8814,1426
+,3350,9335,3193,7336,7816
+,6642,3562,4244,9567,3315
+,5644,6200,2086,1704,993
+,8806,8074,497,6982,4475
-,6810,4445,7683,3928,847
+,1855,4803,3073,7109,3232
+,9588,568,8260,3264,1665
+,8113,4046,4700,3809,4423
+,4985,4679,3924,1946,8786
+,5083,3990,65,8635,5298
+,2793,6529,8807,5693,9428
+,2945,3421,247,9731,3699
+,7234,6523,6145,8887,8586
+,2411,453,352,5262,8380
+,5028,1486,8056,3675,2979
-,9520,9231,7786,5517,8668
+,4882,8899,9049,7207,4202
+,1572,9357,6156,8853,5841
+,5845,8088,3883,6564,6902
+,3711,7481,4841,9856,1853
+,7021,7441,9979,3019,9907
+,7517,7333,9794,8498,5109
+,80,515,3476,7616,8543
+,8021,1720,3830,8402,3908
+,1663,6726,5690,9001,1739
+,793,8975,5850,4059,9578
-,5153,3170,6183,5127,8136
+,7148,2397,5152,7585,2542
+,7778,6688,7430,2164,9340
+,5332,5443,7071,7563,3319
+,8603,6319,1385,6771,3406
+,4913,898,490,5608,463
+,373,1280,7574,2960,4458
+,5113,5433,3248,6625,8809
+,5610,5699,4424,4204,1447
+,3902,1514,3777,7320,2339
+,3524,9781,2618,4322,3547
-,6163,3845,1647,1585,9218
+,1997,2869,2105,232,6666
+,6757,266,3137,3913,1381
+,4491,7727,6844,7201,6780
+,2370,2849,9422,620,6099
+,4701,2810,5394,3940,4198
+,2464,62,3948,6384,3537
+,1303,6232,4602,348,3245
+,4366,8810,784,9127,5513
+,6974,6094,6662,2973,5222
+,3467,2217,241,7753,1817
-,7835,8852,7186,9016,2137
+,3480,4842,3287,1061,1080
+,957,8334,1571,3443,1885
+,7973,6540,7891,6068,7223
+,4217,3156,3727,7869,4066
+,8893,6539,5489,7231,8893
+,6036,2630,1981,2292,4019
+,9686,4450,4403,3601,3153
+,975,9564,7090,266,1286
+,6947,6900,6360,7586,8099
+,8230,5569,6134,6754,5777
-,3902,1514,3777,7320,2339
+,2138,6981,2427,4766,627
+,405,3995,6472,9977,8141
+,4376,4872,1837,3002,2589
+,3234,42,7551,5535,7926
+,9191,3744,1214,2867,4497
+,6576,1276,6632,8004,6967
+,2376,2279,864,5176,5940
+,6048,4264,2400,2954,468
+,6124,8308,1454,1239,7881
+,3550,5165,4847,7130,7864
-,8877,1924,3855,8867,2446
+,9134,3026,2490,8667,5873
+,1617,1772,576,3842,9728
+,8656,6791,6458,9934,787
+,6435,5283,7352,8768,9354
+,7690,2228,6552,9759,3939
+,9539,1828,8306,2648,3770
+,2074,7866,2679,8530,5753
+,1809,5815,7333,1106,6529
+,5621,6575,4022,2671,2963
+,562,9767,5236,6046,2086
-,7883,5852,4635,1637,6277
+,5416,1087,360,6460,6213
+,2197,2761,3126,4211,943
+,8586,2122,7128,2676,5017
+,4948,6733,5068,2805,334
+,9276,8636,6274,9712,6934
+,9628,2964,4779,4195,8519
+,3887,5273,4951,2565,8356
+,7694,1343,6361,3258,7762
+,9755,5241,2782,118,7653
+,925,1458,7188,2330,7018
-,682,6851,2005,1917,3094
+,4026,1938,3883,1161,5059
+,1425,4172,9660,605,3644
+,3368,2373,3136,2596,7995
+,8132,5627,9677,1599,6349
+,1718,7204,2173,2200,9966
+,7304,5606,8959,9508,8873
+,605,9794,4183,6158,9984
+,4549,2150,2856,7440,3938
+,3477,1156,5219,6260,464
+,5194,8046,5173,1187,1870
-,9037,2549,322,3486,8380
+,3386,3137,5791,4289,382
+,2252,9554,2039,1766,1068
+,6395,5336,9274,1476,8430
+,4340,7791,9002,9810,8667
+,9884,6522,381,2161,6507
+,2547,4057,8551,9522,6171
+,4315,9943,5678,8230,3992
+,8193,6915,7641,744,1210
+,5752,748,6884,4704,756
+,8874,9573,9384,3006,5354
-,155,8246,3423,6457,7204
+,5898,655,6151,59,8259
+,179,4851,6210,354,3608
+,3177,3705,8627,9334,3528
+,4140,9990,8871,7002,5322
+,5458,3578,9009,7849,8554
+,377,1697,5515,2088,179
+,9826,8699,4621,448,5372
+,6528,9132,8502,4741,5382
+,7506,4299,7541,1226,5089
+,7066,9869,716,8139,9115
-,3711,7481,4841,9856,1853
+,1687,3725,4142,4696,7672
+,9430,4293,4747,4852,2958
+,5718,4570,6191,6714,2183
+,566,7387,286,4684,8071
+,4810,2663,1874,8388,1105
+,9813,3330,4342,8100,1684
+,1818,3656,9964,3750,8169
+,973,2839,4689,8362,3874
+,550,6324,7712,497,3432
+,3184,3555,116,5748,7235
-,1915,9752,8607,5588,5022
+,5678,4120,2931,6325,7711
+,9498,3599,5749,7554,8562
+,3229,6773,2569,9140,8386
+,4596,9063,9739,6266,3261
+,4518,8745,6418,5338,1066
+,8158,3084,2623,9967,5762
+,766,4909,9216,6747,1325
+,575,2825,5937,1321,6958
+,9871,6641,6412,8275,7918
+,3921,6967,8613,9706,2982
-,145,4360,5861,9693,9650
+,1256,5528,5116,5190,3105
+,1021,9180,8719,1953,5013
+,4397,4135,1620,3095,2908
+,4309,3600,5483,7012,917
+,4157,3995,7400,5925,605
+,7068,7003,4094,5279,98
+,2985,9536,7729,4149,651
+,2672,7161,7430,784,1230
+,1857,8285,606,7229,5085
+,1064,6557,9154,2889,1625
-,870,8424,2982,8439,9157
+,6340,9532,4271,2180,6476
+,6743,6953,5963,7698,4863
+,391,9490,8236,8777,159
+,466,4057,580,1390,2377
+,4234,3198,3895,1182,6569
+,3505,7173,2661,935,4669
+,4529,7061,701,5955,2992
+,1387,9333,6249,1397,9868
+,989,2667,1969,7275,4092
+,7841,7093,3855,8890,5440
-,3509,1863,8728,9412,1720
+,9056,2645,8593,1687,5274
+,1702,4583,8002,662,6807
+,7855,785,7087,977,2415
+,7223,2331,8044,6413,705
+,6479,5375,9287,3916,4565
+,5329,5017,2241,9158,1456
+,810,3321,8363,432,1198
+,2940,844,3416,9006,922
+,4951,6638,3833,1933,8212
+,4041,2128,6261,4647,5236
-,7359,7243,2471,5143,6149
+,1469,563,6427,5256,2763
+,6995,4680,4152,202,2347
+,8269,7075,3033,7508,5216
+,8480,8716,7156,6641,2022
+,8406,4339,819,4705,956
+,4267,5505,6127,1367,2170
+,4614,103,9729,3527,6489
+,3866,3711,1960,4102,3127
+,8699,9451,6017,3490,7767
+,1983,255,6722,2963,9267
-,2470,3056,4751,3013,3832
+,4055,6496,7383,2277,7259
+,3930,703,9316,3857,901
+,3556,5783,746,4212,9934
+,4501,7401,9190,1956,1222
+,9286,4999,1918,5854,6511
+,4768,8972,4520,7248,3203
+,6459,6156,7733,10000,5297
+,9160,7568,3727,8867,2104
+,946,8616,8898,5267,7879
+,5338,1202,5451,3449,1508
-,4918,5919,3259,4026,704
+,3074,4379,3623,61,2206
+,1228,7298,2576,3926,1763
+,3115,449,9720,8915,2173
+,4739,1277,5107,3115,2693
+,9153,9298,5368,7495,9580
+,6688,1960,9767,7431,9921
+,7088,8085,1832,6792,5786
+,5270,1977,89,8949,5641
+,741,6647,305,8801,2166
+,1335,8326,9713,7292,4766
-,4309,3600,5483,7012,917
+,253,7327,5252,6162,2474
+,9310,6807,9252,9801,5437
+,1578,8438,2965,1352,6690
+,7965,9877,2590,7692,1274
+,8681,5652,9025,8098,1754
+,2438,3087,1355,8557,9705
+,8686,5316,1058,5672,686
+,1808,1590,8137,8753,7847
+,855,9799,8590,1931,5822
+,7895,6135,1975,2956,5747
-,3010,447,3704,2198,542
+,4487,2182,7923,3494,2122
+,4337,9518,9782,2122,7879
+,7754,5568,8933,8181,5786
+,6390,8040,5110,6737,8982
+,2988,5760,2821,1076,7544
+,8391,3982,5815,1000,9720
+,6624,1206,8250,7434,1654
+,1162,6115,9521,5751,6551
+,7446,197,5441,8082,1078
+,1450,7660,922,6340,3900
-,9191,3744,1214,2867,4497
+,7315,6609,3916,9276,2828
+,309,1122,7028,1445,6874
+,6621,1209,2539,1787,8379
+,1044,4862,5526,4663,6186
+,7760,1233,6578,6639,2002
+,6364,1499,2907,498,7588
+,6778,3385,9050,2931,5827
+,7788,7328,7412,2785,7881
+,4088,9964,9180,2676,9743
+,4680,8842,835,1255,3772
-,6995,4680,4152,202,2347
+,8659,5990,9767,8,5743
+,941,1785,5678,8707,2816
+,8626,583,8748,1318,448
+,6904,7034,7791,4131,6461
+,4908,3377,7721,1434,4199
+,6977,1959,4495,1876,1149
+,7385,6427,958,2884,5146
+,3078,7625,8113,5318,6899
+,2527,2252,1962,7085,9429
+,5735,928,5739,2727,1316
-,5815,95,1191,8481,4753
+,5899,5949,6173,3305,5914
+,9583,5009,4319,7717,5292
+,3174,3719,5167,4663,8304
+,4193,9544,1751,1055,1064
+,4236,6296,2,3036,639
+,1080,6959,2396,188,8413
+,5846,6408,4170,7738,44
+,5064,2439,9976,2098,9756
+,6140,2126,583,7934,1857
+,2620,2730,1841,8154,146
-,550,6324,7712,497,3432
+,8067,3518,2165,3515,9434
+,3388,9862,6746,4407,1326
+,7495,7739,4006,5937,2818
+,6948,5928,7694,8152,3926
+,9717,5543,3846,3645,4973
+,5922,6047,9060,3556,6598
+,9032,5295,7773,9456,5912
+,3668,6113,8756,2670,9194
+,1715,7688,1201,2748,1086
+,1360,8165,1657,5355,5194
-,4140,9990,8871,7002,5322
+,7997,3663,6572,7210,6534
+,1163,356,6401,4199,1825
+,7202,2773,2907,8520,7195
+,6154,4429,3685,7745,4661
+,1901,1777,1503,7091,4021
+,5994,2873,9310,8134,7006
+,4229,221,3435,8464,1046
+,9072,3068,7499,5985,8081
+,1694,6959,5215,663,6456
+,4622,2731,6260,3729,4738
-,6016,1575,4359,6708,8290
+,1871,7841,8576,9071,3746
+,3462,1894,756,4271,4382
+,9594,4926,1170,8936,6486
+,4420,6275,8965,1477,6984
+,69,8179,1785,7599,1998
+,3586,388,2729,1327,8230
+,8463,3041,1561,1535,1423
+,5541,1846,8020,232,642
+,7868,2486,9100,3508,9215
+,6808,6513,8168,4936,830
-,9867,5886,2507,1337,8953
+,8754,199,6442,4349,7830
+,6946,7179,2990,3190,1922
+,7244,9852,1834,9286,7881
+,7519,9710,6413,6821,9938
+,2605,4306,5043,2697,1834
+,9941,3809,1123,6553,7461
+,1543,7815,3723,827,6992
+,4930,4464,7008,5722,6930
+,1139,551,458,8040,6531
+,5812,2761,1005,8052,7103
-,957,8334,1571,3443,1885
+,7237,2975,791,934,3748
+,5056,8347,9058,9867,6645
+,6021,8002,7293,6764,2940
+,2504,6547,1167,1706,1729
+,9461,3259,5414,2198,4118
+,6933,8747,5711,8120,2270
+,709,602,6392,4713,2473
+,8751,7255,5051,1406,5344
+,2899,1909,9503,1821,7567
+,91,4812,5056,7433,8344
-,8255,5379,830,2139,1850
+,1300,4836,738,2514,8875
+,4688,3178,3971,4472,6931
+,3882,4398,8719,1973,1998
+,1289,4032,4071,6132,1400
+,2373,2321,1665,4554,5585
+,7241,2694,885,9233,9450
+,9504,1141,735,5859,2454
+,2636,3782,7195,5989,6829
+,3672,3217,5146,7797,6651
+,4599,4212,9107,7200,491
-,8598,699,4495,8678,7372
+,7249,6356,1704,6096,4001
+,2045,4344,6676,3379,6490
+,7250,9618,4075,916,6584
+,1175,8249,7328,5082,6655
+,5060,3346,4802,6460,933
+,8275,2096,9094,8793,2430
+,6665,996,4771,3127,741
+,9877,3589,1957,4418,1399
+,9835,6617,5346,5646,7112
+,6536,4084,8597,480,2866
-,2252,9554,2039,1766,1068
+,7246,5010,2639,4132,7586
+,4114,5058,8499,7901,7835
+,1462,4707,3199,3934,7221
+,6417,6234,1355,749,2649
+,5975,4928,4782,2969,9417
+,360,1639,7700,8953,9409
+,5013,8527,3106,3170,9560
+,7739,8087,1170,7070,4873
+,1751,2190,9697,714,5478
+,5288,8993,299,7851,3905
-,1175,8249,7328,5082,6655
+,438,9592,3826,9705,1259
+,7357,47,6657,3607,1438
+,4146,6912,4252,2139,7736
+,8355,1780,1371,4729,5181
+,7823,3702,7358,4150,2105
+,7837,2733,2379,2729,8291
+,4859,283,3494,6290,414
+,2982,3241,6861,348,5138
+,7433,9512,6769,7727,719
+,7362,4399,7489,8352,4502
-,1809,5815,7333,1106,6529
+,9349,3242,980,5492,9960
+,5551,4170,2704,1786,6478
+,754,7979,3866,4940,6507
+,4635,9810,4463,643,794
+,9652,3040,9540,4772,8548
+,9246,9612,4203,658,5631
+,3394,94,2027,1278,8902
+,6321,245,4971,3266,6139
+,833,4170,4960,7607,9209
+,3127,7450,7464,7482,7615
-,3607,170,6616,6793,9901
+,7226,1510,9116,6652,1520
+,1592,9957,2866,5015,3713
+,2499,7416,5074,4786,486
+,1176,9959,60,4163,1070
+,6190,9423,2173,3843,2289
+,1933,4478,5748,6505,2938
+,9947,4106,9323,9510,6802
+,123,1868,6810,8245,2336
+,44,5080,7924,1455,9444
+,2285,385,8500,8114,5569
-,1289,4032,4071,6132,1400
+,608,1628,1303,3550,6471
+,9560,7177,6687,1402,625
+,7889,6962,1401,9267,6919
+,3461,2472,9802,8695,7044
+,5949,4526,6472,2462,6663
+,6077,4335,8161,6895,9256
+,506,821,4734,7801,7042
+,4667,7037,1777,7228,5239
+,4063,8777,7714,5705,515
+,692,6586,3815,2664,215
-,2097,9298,8721,4933,9047
+,5241,126,9671,8449,851
+,6000,3295,4698,6306,1925
+,7663,5700,3186,6767,1258
+,800,595,1159,6445,628
+,8303,6998,6337,939,5640
+,3549,2094,7420,3967,7373
+,948,8041,7773,7231,5895
+,8561,8526,18,5962,4165
+,9760,3098,1002,2,8930
+,7951,1056,9302,2096,3906
-,6536,4084,8597,480,2866
+,6524,6523,7205,6250,2872
+,4903,753,3206,77,204
+,9393,356,8285,3251,7525
+,141,9974,8564,6708,9398
+,4411,882,1191,4641,1209
+,3770,1489,1568,1296,26
+,1716,7389,7069,6350,6416
+,6196,4821,306,9576,111
+,291,9512,7585,5832,8355
+,9155,4424,9769,2847,7658
-,3074,4379,3623,61,2206
+,563,3755,484,4841,810
+,5690,4954,8131,6363,8538
+,9301,8794,8631,1090,4127
+,7921,8353,221,7991,37
+,8333,8688,9311,6065,9469
+,3481,7542,6563,9792,6676
+,6057,7479,5371,44,6622
+,3291,8102,5723,6728,8926
+,6311,3156,1563,3605,7886
+,1165,8113,809,5281,983
-,4908,3377,7721,1434,4199
+,3311,6940,3093,703,9185
+,315,9059,9775,1007,9756
+,3418,1167,2357,1313,1316
+,1435,4747,3008,5553,9454
+,594,2117,3887,7337,4879
+,7400,1823,8242,4733,8168
+,6092,4500,5152,1434,7394
+,9736,2411,3028,1572,9207
+,2304,9502,7103,1150,3004
+,3760,5393,8418,5675,6753
-,9072,3068,7499,5985,8081
+,7678,1618,2142,266,7039
+,7011,8071,8153,9375,1441
+,8295,5213,2121,1864,8187
+,8969,4363,1538,1892,679
+,2814,5002,8672,6310,5129
+,3256,6595,8456,790,2870
+,4821,5051,4174,1483,5430
+,831,5578,2716,6521,1126
+,8532,2873,6714,1071,8520
+,4653,269,7557,3242,4661
-,255,6098,3846,8883,8625
+,3362,4745,4965,9611,305
+,8173,1897,3642,8498,3048
+,3670,7336,3669,3103,8295
+,6049,1963,9911,7977,8622
+,357,6932,8647,4921,8152
+,4559,1619,857,207,258
+,9290,938,6162,5773,3859
+,5958,1477,2811,7859,2671
+,4070,9904,7808,1838,3776
+,5437,1638,6678,2575,8128
-,4397,4135,1620,3095,2908
+,3354,5914,9416,9620,6573
+,7854,1550,453,8322,6579
+,5316,3679,98,8664,5773
+,1923,7566,5542,848,4957
+,1834,5373,4087,4153,9826
+,2123,3768,3303,8872,9070
+,27,8636,8988,1102,6253
+,578,6934,4003,4578,3407
+,9500,782,7142,8121,5699
+,9400,6274,817,3421,883
-,4635,9810,4463,643,794
+,1599,2985,5252,6135,6007
+,935,444,8360,8423,3352
+,369,3018,6849,8056,842
+,4439,7448,212,160,2305
+,8579,6723,9514,2352,9005
+,4089,7788,2913,3166,8384
+,8859,7817,2142,9014,8885
+,5923,7335,6373,4124,6323
+,5473,3402,9963,8335,4922
+,7814,9379,384,3067,1873
-,9539,1828,8306,2648,3770
+,3747,3971,6403,6339,1680
+,7160,1876,2886,9694,9032
+,233,6956,2763,5341,3279
+,6236,6352,7812,7990,4128
+,7824,4528,3480,9287,7635
+,6500,5487,572,4748,784
+,9580,7344,5635,244,7598
+,3247,9077,1406,7540,4428
+,4718,783,4290,9018,2341
+,303,3998,3560,8729,558
-,5975,4928,4782,2969,9417
+,6429,6290,8729,7348,6116
+,7821,7131,8907,2397,15
+,1534,3760,6139,7893,3927
+,6644,1136,8896,5549,8020
+,856,2820,9157,5463,7553
+,3344,9922,6111,8021,8392
+,9428,5057,3292,2492,8884
+,6276,7611,742,7520,418
+,601,558,7605,4187,5966
+,7199,8227,2118,9269,2570
-,8619,9079,3853,6559,8664
+,9152,2878,3500,8636,8315
+,4578,2846,9635,4242,3479
+,1381,5224,9419,5445,8546
+,6632,1126,5778,7654,3012
+,6289,5351,1303,682,8321
+,82,4378,8281,2756,5538
+,9644,199,1922,8217,4260
+,8701,7229,7427,155,8152
+,9013,4346,5223,2967,7934
+,5848,8582,9776,9784,6335
-,2899,1909,9503,1821,7567
