OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
+,7805,4420,7098,2909,8935,389,5810,2025,2837,9945,1918,4295,6092,5076,1731,6868,9992,3780,9224,5608
+,1645,1094,4877,1005,705,6645,9278,4449,5569,3437,8913,4050,9144,9501,6460,4394,377,9778,7068,876
+,3504,3855,1077,8888,9273,5375,9812,4230,6240,6776,6893,4121,7572,9861,9100,7428,5498,8875,6585,8763
+,2553,374,4960,1643,1105,2390,8276,9564,1694,558,2020,6495,7223,9445,1258,5651,7847,2520,9276,3986
+,7213,3195,1705,9499,1442,4235,5313,9429,1828,9038,3786,5834,4637,752,8138,8104,4141,4138,8007,3835
+,4655,5800,2821,8226,947,2459,7069,4354,7841,4567,640,498,766,369,2364,645,8465,7190,2454,4974
+,8193,6411,7271,3919,5178,5208,3404,2001,2479,3036,5583,7119,7701,7204,6066,7940,8242,6587,3851,9599
+,1207,512,4852,9936,5607,4788,5117,924,9833,2429,3639,8994,7671,171,9493,3400,853,4268,6816,2807
+,4403,3361,2326,9079,2369,7668,2312,2689,8030,970,3407,3743,958,8851,6532,3742,7669,8083,7131,8066
+,3895,5178,6056,7645,3718,5563,9609,1980,3519,2614,5333,5928,3970,6950,5718,4430,8159,384,1551,3894
-,1958,7980,4870,191,8058,892,7452,6566,3482,7194,8285,8533,1638,4284,7360,620,733,7242,2788,974
+,6632,1194,2463,9012,2678,232,1825,9286,5291,7649,3168,5349,2877,8463,2417,1616,5111,119,6459,3989
+,9663,7110,6959,8273,2364,6550,150,8958,2993,3373,2561,7125,1193,7961,4426,1886,7279,6746,5603,4219
+,9596,3476,9161,3573,9858,5547,6167,8089,9124,4637,437,6347,7745,6107,8618,8429,1391,706,4272,5124
+,9892,7425,8008,9902,1280,857,2768,385,5598,3400,5812,2884,5033,1972,6106,8636,3198,7357,3420,4566
+,3305,6113,6153,4052,9316,6141,1148,383,370,528,1388,3192,9046,9924,3625,1628,2060,9312,7975,1241
+,5343,3731,5957,8136,4103,2124,4433,2609,7535,4111,7608,4883,8015,6645,6288,2992,1609,5072,5031,6351
+,3517,2619,9152,4531,5655,5555,7607,8100,3533,7377,6683,181,3712,5882,7775,8933,7654,6626,7851,1898
+,4584,7178,1240,7636,1740,5279,8351,8855,6093,8171,2144,4029,9866,589,8411,5444,1847,6760,3852,6223
+,9785,4010,5816,75,3407,9906,9997,9921,2432,390,5745,200,9068,8661,5089,7729,7228,3193,7566,47
+,8282,6917,3852,9090,1094,1866,6960,1033,7186,5667,6175,4644,7711,8523,5054,4030,5819,28,3359,1583
-,4900,6859,3958,7219,6303,2867,4117,8132,9516,5694,4707,8856,3822,2658,7405,2962,9842,9845,8250,262
+,9132,6488,6738,3177,8694,7832,3639,7985,6361,5927,2296,7737,1904,6546,4712,7009,1715,6533,7071,1278
+,544,5447,2274,6418,2707,4631,5239,2604,4269,1877,3052,4075,450,5984,6125,2240,4036,4944,7159,7561
+,4541,5503,827,3010,4578,3753,999,3342,4232,9850,4290,1659,3422,1841,1171,9775,6722,8083,5678,8738
+,4187,8225,3252,6058,3018,1188,1692,2229,3353,7121,4365,6766,5190,3006,4263,4364,7009,1856,9156,2768
+,4727,3273,1181,9299,4360,6695,7079,1345,2318,1176,8452,5215,9208,9095,9719,864,9510,7373,2712,3086
+,8275,4569,4909,6733,7058,4507,7635,1286,4986,4972,9785,9373,8802,6461,9109,1794,7412,4595,2136,4130
+,335,4895,5125,7178,8253,3767,216,6405,5852,2607,884,9363,2371,1489,1591,6791,7376,6409,9123,4099
+,7886,7115,2633,7507,6849,7747,5010,2733,1631,5869,8137,1659,9572,3559,7553,2234,9711,9308,7684,8631
+,9078,700,1240,7073,7460,3552,2839,6632,3291,1367,68,660,7558,9908,9481,1106,9109,6470,3878,8212
+,533,6359,2566,9474,7448,9607,3192,7639,9358,8548,441,3555,7617,6291,7163,2549,3081,8046,7554,1229
-,8193,6411,7271,3919,5178,5208,3404,2001,2479,3036,5583,7119,7701,7204,6066,7940,8242,6587,3851,9599
+,359,8804,4642,5138,9708,3507,1890,8405,8025,6468,9046,1808,8470,5449,8248,4296,8656,6275,5863,632
+,9325,4829,7286,9353,7780,9248,5214,8550,5767,5493,8602,6146,3861,4805,6608,963,2722,3659,4186,9966
+,8705,4526,7836,414,7661,8326,6380,5283,3530,688,1619,2194,2603,4405,6057,3125,7919,1319,9342,9387
+,399,6792,1263,6599,8628,8597,6813,1119,2175,3946,2318,8987,6866,7132,6500,4383,3196,3706,2086,2878
+,7842,7839,143,592,9459,6770,6866,397,2809,4364,4396,9180,6616,1533,9588,2646,5214,9857,1401,1775
+,3918,6366,8452,2610,6867,4966,5633,9480,2517,3144,2168,2032,1826,8796,9698,7953,3611,7870,9193,1649
+,7923,6399,459,5188,8371,118,6405,2608,1714,784,1258,5561,7313,2535,346,27,9622,4105,224,3894
+,898,3367,5265,722,2662,8962,3512,7936,638,2570,6542,8368,2321,7103,9116,9920,1903,3293,2219,9012
+,6476,2776,8432,6812,2718,5756,6556,1825,5977,5824,4075,7509,5280,7041,3636,9176,3680,6389,2827,597
+,9690,2900,8598,2357,6318,4886,2233,4325,8536,3817,4895,3941,6275,820,7951,3109,7772,8334,3543,811
-,9892,7425,8008,9902,1280,857,2768,385,5598,3400,5812,2884,5033,1972,6106,8636,3198,7357,3420,4566
+,9882,1501,8062,3349,3137,6155,8775,7774,9862,2833,975,1933,7268,6879,7355,63,8003,7924,1247,8186
+,3217,8,9339,9073,227,2986,4413,8134,9717,2560,5147,6339,6786,2671,9891,8242,7247,9971,6084,8271
+,8502,8398,2360,1298,9333,3145,6690,1602,456,2725,6906,6848,8699,31,2129,60,4237,17,4164,2608
+,1989,7351,6155,2027,7663,3093,8751,444,190,1416,1598,23,6834,4319,9360,6125,5538,2487,5630,5031
+,4792,5113,9190,2491,5184,854,9709,7770,3071,9586,6428,3589,6932,6817,1377,5010,272,3325,7065,6670
+,4148,4425,9405,3773,3227,2015,515,2661,4305,3315,6101,5439,8993,8797,5093,5026,3644,8418,5775,4274
+,6093,3190,8459,160,7179,6524,7969,9425,8996,622,7828,3324,2802,3651,1736,9193,8694,4920,6295,7295
+,7790,9493,9937,7498,7784,4509,8294,4118,5173,119,7078,3688,8434,191,9356,9404,9999,9492,6065,461
+,7318,4620,6061,9106,6517,4171,3565,6975,356,9136,1851,8014,7281,348,1394,6583,7995,8952,411,227
+,9337,8607,6191,6394,413,1583,3127,2991,1754,4683,7782,2953,1275,183,6934,6132,8767,3237,4988,2692
-,9132,6488,6738,3177,8694,7832,3639,7985,6361,5927,2296,7737,1904,6546,4712,7009,1715,6533,7071,1278
+,2429,5376,963,1962,8270,9773,4632,4944,407,551,5586,6144,5643,8266,7178,2236,4648,3197,3316,9856
+,4371,6500,4299,2215,3151,6865,544,3419,6458,704,9695,6074,9166,2292,767,2874,8247,2767,708,4163
+,2631,4566,9777,6532,5635,4830,5723,8841,3607,2527,5844,175,5467,7868,346,4871,4787,9398,1341,9775
+,6525,4950,273,6335,1200,9331,8266,108,1258,2751,9270,2202,297,5519,7605,2249,1120,680,9700,6794
+,3368,9125,3407,3377,7711,2872,3987,2539,1978,8015,7607,6831,2628,2236,3705,7917,8985,947,6170,7158
+,7001,7280,6150,1991,6915,4923,7974,29,1911,9361,6094,1229,3213,9092,4847,9875,2723,2952,4488,9339
+,8398,8828,137,3431,6050,1296,1201,1137,6503,1068,442,1561,1689,358,9634,7542,9810,251,252,289
+,6943,5594,6934,6508,7760,2642,5956,5941,7609,6388,1323,870,3412,1694,6767,8252,2530,219,2040,1031
+,5513,9449,678,5870,9166,5373,6055,1493,7182,4503,8989,3907,5541,8134,501,375,4770,1265,4179,358
+,3858,2733,6490,2985,1797,8799,7893,9649,1298,3667,3368,7761,1220,8900,3619,7398,3995,4657,2184,3421
-,2915,8761,3119,1181,9828,5116,7270,1512,2127,7750,6395,8462,7984,8890,9389,4220,2088,5077,3176,4659
+,8540,9132,9721,631,6099,3510,7199,6320,7062,3539,8502,861,4816,920,7369,9558,7181,9060,3066,4624
+,3103,8695,7400,9431,5386,4764,5694,7288,2826,5603,983,3832,6612,2435,7363,7777,5408,2203,7576,574
+,2240,5004,6449,4617,7917,3333,9581,725,6821,5959,4230,1376,3180,9102,1744,6171,1841,1313,6469,9401
+,5536,1878,3890,7517,2260,833,2066,1291,2706,6867,2252,9391,9533,6436,9677,9659,9304,2766,1021,4904
+,1536,6563,4441,364,6608,1355,7773,9923,2888,5585,123,6589,5870,9754,1423,5223,8683,2939,4818,5538
+,4497,4730,3149,6696,7050,268,9500,2063,8680,1374,217,7111,3969,6304,625,2632,6255,9452,3648,4527
+,9178,8209,1160,4996,3993,2803,4510,946,3469,6917,7182,3848,8812,9536,7266,333,2824,8253,1620,7029
+,1194,5296,5302,1055,7974,6062,4267,7407,7413,3702,5259,6962,8645,6162,8202,5138,7570,7301,1704,2003
+,6320,3887,7162,4621,7283,4525,1861,7064,7581,6676,7226,182,4522,4213,908,9020,6617,2721,4173,4574
+,7113,1538,2745,3032,7346,2279,7933,1536,2851,3773,225,11,1428,547,8994,1213,6031,1856,8919,6477
-,8282,6917,3852,9090,1094,1866,6960,1033,7186,5667,6175,4644,7711,8523,5054,4030,5819,28,3359,1583
+,4786,8987,9133,8647,6000,1500,4699,4031,5303,4978,7956,7208,9834,7156,9975,3218,8291,8323,1115,5601
+,9228,4067,9321,9807,4084,7366,2095,966,7182,9516,101,1462,3375,1291,5134,4317,2015,2666,4553,7170
+,4434,6907,6737,3543,7224,6578,3618,7376,5710,9427,3978,8079,7696,1369,9794,5908,401,263,6628,6321
+,3900,8561,3362,354,7528,7972,7205,6956,6816,10,8452,3156,7909,8651,2016,576,694,2341,721,949
+,8434,4219,8167,9531,5647,5496,4996,5022,7613,178,6498,4932,6251,2775,7,9620,3856,5776,9351,1183
+,8895,5690,1353,273,2428,5082,6068,7591,6998,6447,8316,1445,8896,6713,4148,6900,9041,8706,8228,7731
+,1256,9178,1274,609,5474,7018,638,3336,2118,2976,3575,5392,4839,1651,4620,7283,604,8859,1559,8016
+,7250,538,1380,7114,4050,908,625,3323,7165,6757,2540,2777,754,4179,9531,6989,3244,335,607,9559
+,2664,5050,6880,4186,6389,6056,2706,2009,433,3117,9817,4047,4958,7829,2916,4706,3972,5460,437,15
+,9526,6970,6196,1589,4115,9934,1522,2463,2664,7377,2847,3510,3105,2059,6691,8345,6395,604,7309,1903
-,8895,5690,1353,273,2428,5082,6068,7591,6998,6447,8316,1445,8896,6713,4148,6900,9041,8706,8228,7731
+,2015,5423,9073,1371,1944,1220,7023,5780,4351,6736,2718,4448,76,2798,8698,8546,3300,2614,162,6289
+,932,6380,6811,8255,2906,3402,125,3042,8285,4635,5566,818,9592,7481,8182,8045,2251,5874,9272,5265
+,7972,9556,8766,3031,6622,70,3942,8311,1609,3943,6852,4445,435,5677,3213,5926,4352,7935,7857,1784
+,8808,6509,7244,3907,7534,8145,654,2458,1203,3574,1823,2077,9149,94,3414,8981,3357,9168,2583,6523
+,3563,3756,5829,5397,9758,768,9462,7359,5855,3873,1048,1476,2372,1479,725,8309,5476,5343,221,3859
+,5480,6805,567,7078,7347,1477,1064,8210,2178,9395,7594,8889,5685,4199,9864,2634,6419,4651,4454,6184
+,8793,1766,216,436,6549,6590,2605,9447,7880,187,1716,1945,7422,7573,9015,4921,8917,7779,8178,3141
+,8192,6291,6905,2074,8150,8296,4569,2660,5023,1676,5201,9937,2831,3495,6892,7096,5185,1180,3676,2772
+,547,236,2544,1131,3684,3586,4784,6150,11,1373,4203,8575,1070,4749,2356,6434,3274,832,4227,6246
+,2843,8009,1768,5673,8073,3326,7709,6545,4678,5796,1464,3347,3207,977,290,4453,9867,6376,1490,4999
-,3368,9125,3407,3377,7711,2872,3987,2539,1978,8015,7607,6831,2628,2236,3705,7917,8985,947,6170,7158
+,799,5549,8283,1043,9611,7747,6295,575,6570,8924,5997,3611,2649,3696,3512,2447,6852,3402,7059,9785
+,5342,3226,3922,3126,6244,9644,4115,6266,1183,8236,5520,2428,7594,2984,4307,9082,7246,9779,2786,1576
+,4443,9320,3248,3992,3362,711,8103,1397,1613,8777,65,6755,2496,4364,5643,2738,2627,3808,9282,830
+,9076,3200,9924,9808,4959,6311,5636,4130,4100,3146,464,4203,8321,3662,2133,2358,964,4979,9692,2281
+,4353,3382,3659,8284,6919,8086,7572,3546,3401,5254,4193,4651,1136,2013,6671,8750,2086,4515,912,5861
+,2885,177,5917,841,6058,3972,6878,1791,7175,3870,4328,6322,37,6535,4683,8105,516,5496,3592,1711
+,3575,3381,492,8822,2462,6711,7005,4764,2393,5357,6906,7087,6382,8335,8818,9913,509,2401,1841,9017
+,8412,8189,2045,7911,1115,2662,256,3333,3965,3242,9500,4930,9836,3072,4783,3729,504,9798,1447,4865
+,1453,8018,2811,6408,2382,4502,1883,7207,5187,5170,6252,2921,9732,4780,5549,3077,556,717,9271,7274
+,696,5946,2687,9730,3908,5085,7227,7114,7861,4952,1061,9274,8857,4583,3910,8167,7665,4585,2520,2728
-,8434,4219,8167,9531,5647,5496,4996,5022,7613,178,6498,4932,6251,2775,7,9620,3856,5776,9351,1183
+,532,9721,4632,3906,1751,2739,3873,3771,7360,8627,7933,1316,1489,10,6105,7673,5604,4084,5528,2443
+,4943,1582,9290,3723,2613,6296,1517,2010,8810,1552,7163,4049,2706,5339,9093,1699,5678,8130,1831,678
+,2948,1923,5077,1706,4409,4237,8674,679,9419,3974,7305,31,3820,7978,9420,2791,1127,7445,467,9975
+,9881,731,7253,2780,4091,4562,5474,6202,1165,4284,4816,4004,8300,8888,5377,1237,836,2122,3109,7252
+,4647,8268,2879,3045,8647,6299,915,377,6595,7762,3246,6595,8579,2504,2531,1603,359,9485,4711,5758
+,4883,825,3612,5262,2844,9797,8998,6074,7018,6972,8745,4485,8771,9700,566,9408,7216,9443,652,5292
+,8101,5355,8307,9726,1204,6132,7594,4870,9917,4305,8416,9252,7554,3936,7862,8478,8260,6405,742,1062
+,5084,3211,1469,6510,3480,420,8163,6067,7738,9290,1057,3097,6545,5923,9386,7649,3677,1771,6330,1512
+,2917,2383,6628,4356,788,1807,8725,186,1677,5922,8286,9315,7807,4301,9218,6237,466,5952,608,1587
+,1611,6709,8760,9901,1412,8444,3253,2930,6355,5503,4576,9529,5604,5112,8879,3125,4183,305,4645,2009
-,9785,4010,5816,75,3407,9906,9997,9921,2432,390,5745,200,9068,8661,5089,7729,7228,3193,7566,47
+,8641,2982,128,4151,4700,4647,5676,7491,9920,2368,1727,5055,4854,670,1174,2412,1980,276,8163,4501
+,2571,5229,2600,1705,9447,4858,1786,4098,155,4615,4940,9138,8178,933,4584,8780,8168,3600,8770,9440
+,4117,4860,5745,7698,3990,588,939,6944,4075,2670,2723,6032,7257,3806,2289,3056,6734,5379,9400,7881
+,357,3962,7844,2225,2928,3794,5792,4593,255,616,219,8110,6733,3173,1441,8030,9451,8140,9491,9194
+,7699,9777,5603,3574,5167,8097,1275,9809,698,79,6987,4485,9246,9601,5556,2070,5251,7954,2540,906
+,7988,9355,2618,7294,1135,1755,6425,1239,5234,8348,5705,2449,753,4274,7634,2692,3774,4325,1150,4640
+,808,9116,3699,1321,5092,9070,346,8629,75,9285,502,9503,2205,6073,8636,699,9848,6887,281,2627
+,2113,2062,7844,659,6705,3377,7110,3032,4041,1691,3593,671,9740,7073,5267,6770,4814,1728,4404,6708
+,9899,4773,8642,3065,767,4992,5884,7446,2541,5906,8202,5754,6204,3920,5814,4692,7142,9844,3688,7412
+,9714,382,4857,7514,3197,8756,2894,547,5735,9127,6364,9250,9498,398,861,7058,6084,3964,6765,4853
-,9881,731,7253,2780,4091,4562,5474,6202,1165,4284,4816,4004,8300,8888,5377,1237,836,2122,3109,7252
+,3761,2137,7394,3720,7577,4493,7650,4376,7416,2836,5022,4910,5989,5728,5934,5346,500,5287,1387,4598
+,4007,536,770,6770,4457,7863,9251,9911,7917,6246,475,750,823,2105,8285,9615,4331,4496,3478,1892
+,5935,8195,4526,7335,4063,4898,1380,3202,8139,4075,9417,8233,1318,8023,6622,7674,9635,111,8531,9824
+,2727,9451,297,6401,4633,724,7679,5409,8859,7110,6400,4069,1382,6567,7457,5450,5741,5808,1118,553
+,5524,1557,9105,9506,5473,7771,2904,8026,3628,9651,6593,5474,9165,1969,9600,143,9360,2519,3383,8630
+,4749,1755,560,5535,6583,5534,5485,2851,3785,7852,154,343,9078,4074,90,4292,9619,6035,821,7247
+,286,4842,7036,1650,6799,2896,2041,4172,3861,1783,3876,3200,1601,671,9223,2367,1679,4249,2192,1356
+,8922,2246,4726,1426,6425,2844,1720,992,7747,661,7538,8157,5127,314,9885,8685,2246,3326,2037,8783
+,2063,2624,7806,8987,8571,4193,668,2810,5023,8335,1648,7193,1488,2881,3309,4873,9082,5803,4243,5977
+,157,991,9943,5934,3582,2586,7931,312,4625,8128,1662,4821,4148,7244,424,8211,669,3182,6178,4439
-,1207,512,4852,9936,5607,4788,5117,924,9833,2429,3639,8994,7671,171,9493,3400,853,4268,6816,2807
+,7551,7837,4606,1275,9671,4152,4445,4539,3084,3820,9149,6097,5688,8502,8752,2395,8880,9560,4939,2548
+,5074,1027,4587,7941,1892,6540,7763,374,6761,3832,8057,5105,9329,5698,1078,361,1872,7482,7194,1020
+,9192,1418,2481,9888,5640,9225,7466,7112,4021,1730,3296,3128,6186,5409,5322,2675,6097,9462,1694,8462
+,8133,6791,7560,5427,4300,7167,647,9605,6719,3099,4980,8467,1728,1413,7828,6641,2061,2596,4127,5110
+,5425,7631,7712,3332,9961,189,114,7050,2929,1938,3973,8422,3503,6799,4053,3910,137,2889,6361,3310
+,2399,3321,7847,9109,7255,9650,3924,2097,8440,3122,1049,7486,293,7525,3605,6795,3427,2633,6447,7227
+,3256,3072,28,8959,1680,5822,2335,6613,5757,7658,1522,5940,6765,7802,1916,3451,1827,7055,3911,5634
+,1988,3175,2282,8693,7772,5177,3130,8508,2028,3387,9012,8221,4952,7794,3272,6787,5641,2977,6966,284
+,3707,1112,9156,191,7072,8326,2762,3167,4526,3415,6231,1587,4415,5171,9454,3623,9345,548,1200,3881
+,2485,7854,5786,967,2140,5789,6708,597,2291,5653,5826,8567,6134,6802,2722,2488,5654,7950,4588,8363
-,3563,3756,5829,5397,9758,768,9462,7359,5855,3873,1048,1476,2372,1479,725,8309,5476,5343,221,3859
+,4001,1275,9363,186,5715,2547,950,5015,8649,9710,7483,6017,5314,3643,6080,3339,1175,1372,4356,9119
+,4882,9977,2914,7932,7888,7142,7808,3802,671,9923,5107,1875,604,6808,3087,6311,9907,9656,2522,9302
+,7864,30,5175,7023,9019,7876,1245,757,3954,568,5873,2919,4095,54,11,5475,153,4579,9047,5201
+,7419,2505,5679,2092,4938,2656,530,3645,6650,1394,2589,5040,3166,6424,2824,2426,5182,4294,22,8468
+,7953,2692,8789,5521,157,9567,1761,2720,8288,6156,9951,4429,9447,8688,6152,3041,9236,1581,2539,3364
+,6444,2851,1091,6150,6507,2683,2761,8742,1755,2334,9016,4314,327,5188,2339,2437,2799,6890,3630,8022
+,2520,1651,2486,3591,7884,5524,2524,5194,6817,2023,9887,8151,8975,5857,4135,6851,9556,2248,739,5888
+,1682,7170,6330,4185,6457,3340,7034,344,6568,7891,8045,7473,8835,9535,1951,7445,9009,8022,1635,2733
+,7685,9980,8113,8963,6257,1366,2554,6931,3367,7380,6586,1130,2060,6404,5630,8853,2470,955,5673,1844
+,7969,9623,6235,1434,9116,20,6892,5194,6313,1548,5005,4593,3955,4574,4290,6249,5445,8337,7775,5400
-,799,5549,8283,1043,9611,7747,6295,575,6570,8924,5997,3611,2649,3696,3512,2447,6852,3402,7059,9785
+,2695,9906,4392,8201,5165,9859,3010,7223,6068,7406,7605,9704,998,4868,7909,3124,8473,7980,9712,9625
+,9187,8516,9066,8611,7790,6137,8966,5306,7909,4967,8475,4000,2459,4431,7288,4721,7362,6802,5742,8116
+,965,3582,6114,8475,3809,5656,2376,2049,9432,7240,5339,2434,9222,997,3920,6512,6645,3733,1460,1663
+,2423,2580,3238,7952,6085,4950,6872,9492,8565,5831,8776,1624,4125,6292,7989,4285,9713,6002,9460,2230
+,5472,7651,3195,1097,9448,2874,1181,262,8669,3737,9320,3981,1126,471,9735,4213,2179,8469,74,6306
+,6955,3348,6216,1645,8815,2945,6948,8921,4332,9043,8101,9894,8580,3529,9099,1326,7064,4294,8575,1933
+,4713,5530,1285,7395,819,2656,491,7672,8034,236,9757,256,4224,2328,7067,8806,5012,2262,4331,912
+,3802,869,237,5646,9410,3518,4862,2445,2542,3824,7588,9777,3882,7553,7018,9587,3859,9687,3330,9763
+,6530,4049,2986,1689,4423,2329,2517,1962,5044,7096,3854,9058,4044,982,3685,7873,2694,8849,6724,946
+,625,48,2792,865,8781,1846,8340,6440,7442,787,7005,8969,7156,9112,5618,6020,8156,4250,4088,1586
-,9325,4829,7286,9353,7780,9248,5214,8550,5767,5493,8602,6146,3861,4805,6608,963,2722,3659,4186,9966
+,6610,4754,8623,464,2967,285,6468,2111,8188,2866,5891,1207,8012,8960,6321,3926,3147,8755,298,1484
+,7806,8158,8851,2929,7638,9556,8647,7389,4754,3091,7658,1823,9823,6965,7442,2110,3286,6757,8464,1048
+,7121,7656,321,1767,3475,6678,9882,1134,3903,5245,1858,277,9484,7472,9808,9563,8827,7532,4341,1729
+,9339,9742,202,8850,4373,5998,502,6297,1737,5948,6749,9270,8860,7736,6872,9250,5341,7480,7338,9383
+,8191,6241,2431,1718,4712,6809,9076,6619,6511,7481,2538,6483,3529,4362,1495,7278,6600,5921,9177,3920
+,9770,2479,6362,7182,3181,9236,1197,6865,9333,2398,2336,5813,247,6795,4049,6569,3180,628,8475,9181
+,861,8721,8957,2048,960,8701,4875,9650,5705,3263,4692,5043,5323,188,574,9774,4651,9686,1574,8836
+,15,1885,7461,2350,7719,9408,5752,4925,4964,5676,4751,2108,7991,3697,4651,5811,1900,1237,410,3966
+,6445,422,157,4025,9477,953,4383,9127,6932,9651,9443,9704,7730,9615,2103,8198,4872,1895,1510,2893
+,4690,5381,7803,4972,6955,843,7521,1806,1635,1118,974,3767,3818,3721,8656,3722,2228,2699,1743,5070
-,5425,7631,7712,3332,9961,189,114,7050,2929,1938,3973,8422,3503,6799,4053,3910,137,2889,6361,3310
+,4921,3992,8829,221,6902,6236,1198,6944,5479,2210,8753,7770,9698,316,7397,2969,1587,8600,2326,9185
+,3046,3795,7721,2742,1569,7627,3779,36,4215,4331,1273,6290,3324,9170,5025,1060,6564,8058,2021,3522
+,68,9360,1872,9665,8405,3286,9952,6263,5722,5637,2629,8081,4064,8341,5353,3360,8408,8326,4953,8920
+,2287,715,6275,9162,6138,6507,7117,3222,5863,1372,9625,8038,9722,9262,591,451,1687,8952,3616,1264
+,7164,3616,540,5157,5898,5548,9967,3117,682,827,9363,494,1036,6810,5345,2965,294,3033,4484,280
+,3383,6997,4148,3012,7198,4434,3310,7786,7578,9213,3089,7085,2235,7403,8581,7889,9130,4063,3334,7510
+,277,4056,6934,4665,8361,6408,3710,7622,945,9811,46,9894,1538,5393,3820,6026,5706,7227,433,396
+,9776,2592,9392,3528,6922,530,7457,1974,2817,8203,8798,7299,3439,5914,6839,796,9839,1800,1030,7861
+,4132,8037,7294,9624,4024,4827,1837,786,1672,2848,9273,8043,3190,10000,4327,3249,6295,5108,6966,9498
+,1447,6686,7887,2402,1014,8846,7252,7387,2448,9592,5186,6374,5954,3037,9684,2775,6073,7259,4544,7287
-,9882,1501,8062,3349,3137,6155,8775,7774,9862,2833,975,1933,7268,6879,7355,63,8003,7924,1247,8186
+,9903,8674,4621,7556,1462,3463,3746,4499,4392,3696,337,6436,5695,4326,2754,3046,6821,1408,8002,5459
+,9012,3976,7448,5750,6119,9994,7649,2270,5326,8809,4392,5307,5498,2621,4593,6518,6341,9724,4988,7508
+,9574,3620,8145,634,6295,6014,1104,7312,9819,9203,3557,1511,9658,250,9461,6410,4674,3215,7678,493
+,3263,9165,1854,415,9758,8421,2647,3553,6170,3163,5882,9928,9032,9944,6523,7248,2789,1615,4777,1917
+,4125,9796,933,7300,9588,7182,6132,7639,7540,7152,4180,9737,9591,9821,356,4971,3817,1028,5240,252
+,3212,537,3512,7314,814,4456,8588,6852,3799,5124,2654,3094,6775,8692,6531,5618,7856,2862,4747,1952
+,3891,4342,9981,7180,5336,7184,585,7911,7783,2238,1624,466,1637,7875,9198,5892,4393,8803,3376,3599
+,7190,4574,6897,1455,385,4637,1361,2888,2198,9047,8748,365,2703,1305,1191,9271,4078,7476,8279,7988
+,5678,9433,6990,8543,9518,842,6746,8960,155,1920,7173,4681,1410,2090,2563,9702,8814,7134,88,2068
+,9939,8079,4781,4625,8614,722,9385,5433,8070,1834,3400,3254,7208,3167,6171,1710,8611,1855,1631,7446
-,7190,4574,6897,1455,385,4637,1361,2888,2198,9047,8748,365,2703,1305,1191,9271,4078,7476,8279,7988
