OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
+,8315,1503,5763,237,6593,464,8440,9206,9645,3303,1325,1574,2723,6019,3354
+,917,7914,3634,1760,213,5147,8408,8438,5335,4538,3916,4511,9509,7830,4399
+,8174,7944,7024,9602,8691,4852,1932,9973,157,4543,8595,1437,7944,718,3385
+,4729,8882,6613,3968,6416,819,1009,1072,8048,1229,1614,6481,7709,3520,7890
+,6000,5453,2166,1057,3193,5314,6114,3755,2254,125,8358,1151,8423,3227,2096
+,5348,3167,1424,9483,8098,991,7458,5768,4156,9191,1321,4671,85,2783,4048
+,3230,7501,2651,5186,5166,7038,4665,238,7033,1629,7977,8116,1810,5055,8833
-,1144,2368,1032,8520,6200,512,4857,9609,5872,1008,36,384,5331,5822,7784
+,6447,9872,5846,9161,223,619,7047,6063,4702,8715,5425,2679,6315,5049,8596
+,880,7958,5154,9276,7024,4843,1338,190,5498,993,5969,5898,5918,4964,6585
+,730,8491,3403,531,7906,214,6398,3700,4270,4777,6828,5684,5828,3077,3458
+,1298,9415,3407,1760,8081,8853,1778,4279,5858,917,8468,2273,5793,9585,1451
+,7975,4358,7506,6680,255,6286,4088,9487,2203,4728,3611,7510,7212,1679,8094
+,2697,9080,2689,378,1082,2496,3525,9219,4969,5952,9620,8177,6120,3334,5973
+,5956,9359,3726,6750,3645,394,9403,2905,4433,6921,4414,6355,4231,8670,4615
+,4832,1942,519,4512,7194,9083,2703,9682,7125,5535,138,1343,5683,5433,4216
+,2981,5540,5245,7355,6469,9719,5965,7224,7453,3269,4736,9093,6975,331,5554
+,2703,6540,3555,2675,675,5756,8035,9638,4189,5013,5029,8814,6257,4650,2686
-,8174,7944,7024,9602,8691,4852,1932,9973,157,4543,8595,1437,7944,718,3385
+,767,1351,2762,8340,2858,3275,2113,2826,286,515,960,5005,2906,6405,6505
+,8522,2854,4613,8546,8566,2101,6661,372,1660,5426,5003,9647,4905,3252,9947
+,4333,4833,135,3128,1069,448,5882,3116,9183,5885,57,5448,2502,6616,6960
+,3242,9605,3426,5628,8869,3934,2450,3136,5909,7116,572,5927,4435,1020,1648
+,4993,7047,5259,6923,6224,7668,3317,2147,463,9717,4193,3198,9444,717,4138
+,5254,5408,8506,2379,7481,3960,6862,540,7097,6923,4418,4145,2275,9552,7119
+,9297,5252,5664,4747,5752,2482,1259,4665,5535,6043,1484,4129,667,4651,9191
+,3276,8294,9606,6831,7877,5805,8491,8184,8907,7387,8409,8607,1424,46,8747
+,8907,3083,8842,5976,3617,5637,5032,2449,879,930,1734,503,6339,2361,986
+,8801,7060,3333,5212,563,6618,607,1251,4596,9282,5394,3186,2492,5218,6050
-,328,3739,2953,2664,5705,6189,8273,2577,1096,2128,4498,1208,5815,297,3890
+,6428,4591,3394,9961,973,30,6152,7705,2816,9425,99,6618,894,796,332
+,6737,6738,6536,2319,2146,4313,5136,7147,9064,223,8833,4818,1618,7794,9241
+,496,7964,8004,3455,5316,7527,4694,7771,7631,2865,8287,5155,3727,3259,9207
+,1030,5335,5489,100,883,5338,5593,4241,4948,9124,7165,2965,1619,9850,4210
+,7552,8037,4786,9660,6783,4221,7895,7594,5737,1519,6202,9159,2510,3967,926
+,7657,4592,2194,6735,3151,3900,2782,5159,4494,7341,2420,5104,454,3670,4960
+,9807,3202,5028,5089,4492,3322,6693,5182,7227,826,932,3409,3235,4427,3212
+,6868,5876,7455,7533,224,9426,6075,4296,8772,4855,9226,2497,8237,8712,9881
+,4958,1175,3799,7598,6883,3235,8597,2500,8536,1405,7775,9828,6281,2496,4631
+,702,1448,1503,6519,3484,4324,5335,763,8531,4012,3096,4280,6471,4835,9729
-,6428,4591,3394,9961,973,30,6152,7705,2816,9425,99,6618,894,796,332
+,7835,9552,6295,1335,7765,6362,8666,8953,6828,4889,789,3954,3323,5011,2936
+,3742,7591,4246,8965,984,1481,3771,8523,336,3778,7991,9104,3736,2747,8914
+,8658,7683,1600,5567,1016,5374,7355,5849,3360,4271,8184,7420,3533,1702,498
+,6180,790,370,2690,8524,9046,6030,3247,6815,2152,501,872,8079,7821,5370
+,4002,851,9375,4278,7197,7190,4906,1467,8642,4224,2909,19,6906,7378,104
+,7566,2936,7726,2392,9117,9575,4574,5875,3871,4908,992,6469,1007,504,689
+,7477,6337,6218,9136,2899,1304,6963,8751,2646,6614,3667,5774,6869,7447,9309
+,8663,6530,9513,327,4878,3106,9738,4233,1180,8647,6330,8714,8085,8932,3869
+,1711,4548,1616,943,8749,9838,7477,8318,701,3142,6218,2200,6032,1139,2724
+,3189,8694,2715,3586,3713,214,2347,3344,3201,1679,377,4468,2574,884,8802
-,8359,6027,6437,5362,2338,955,1529,5323,4966,5074,5348,2963,4046,5588,8727
+,9413,2796,3554,9139,2950,7784,8002,3601,9139,1220,9878,332,2838,5850,5451
+,6481,4257,6580,3120,2079,8196,1037,5198,9510,4775,5435,7992,6253,7540,235
+,7460,9881,8659,8613,2382,8660,635,2545,1043,782,4738,9993,2925,715,3304
+,8527,6599,7158,9104,401,4360,9702,272,6782,8813,2057,9410,6891,3862,4984
+,2607,2673,5997,3775,3504,1815,9117,993,9259,5772,2239,1133,9513,1843,2775
+,6086,6007,1469,7778,6111,1937,6734,3081,8327,7997,5085,3260,6180,7982,7355
+,4645,6955,6523,9651,8447,2107,3731,5688,7652,7834,7566,5303,2822,8264,5524
+,8104,4092,5922,1800,611,4699,8534,2747,5934,800,2420,4634,5448,664,5752
+,7081,1872,2142,271,9989,1020,4562,7416,5825,160,453,7163,1618,4808,4440
+,7388,5970,5141,6659,3578,1916,6381,1843,2651,2361,601,2770,8419,4022,1678
-,2662,5064,3299,3447,4975,390,8647,8948,8305,333,3716,7269,9554,3739,865
+,4571,1898,2492,2801,2996,8135,9763,4310,3865,5179,1285,6699,483,7145,708
+,5703,8056,594,4227,2287,4983,9592,3083,4770,9170,4625,8996,6851,3547,4040
+,4113,642,6410,7572,209,1918,4393,1894,4247,4180,6460,8692,4110,1269,6739
+,3924,2069,2369,365,1127,8745,5216,3584,7612,7691,2572,1221,154,506,6808
+,7148,1101,895,6216,5570,5330,6080,3774,5785,969,1373,3747,3439,7618,1135
+,905,3741,6252,2073,5257,8950,1832,5923,3723,5206,8796,4131,7372,265,5787
+,4508,1283,686,922,5290,3885,9257,8582,3461,8095,5952,1593,7453,6908,3715
+,8973,6261,6010,8697,3084,7748,3201,666,6356,7285,8726,9382,8667,3100,650
+,5187,8409,1075,1930,5255,7860,4799,7724,936,7514,3208,5428,5862,5195,1514
+,786,5498,5672,4819,5705,6320,8450,1066,5966,4855,6391,2944,1416,2619,1872
-,2703,6540,3555,2675,675,5756,8035,9638,4189,5013,5029,8814,6257,4650,2686
+,3335,1961,5557,7159,6778,2630,6867,6408,1324,9615,3799,3641,127,6400,9872
+,7104,4664,2906,427,124,1055,7419,9322,8610,744,6538,1649,6940,6831,2108
+,7813,4513,7753,4802,6508,4993,950,916,2043,1805,4526,1235,6908,597,3635
+,7456,5468,1767,5705,1804,2174,6906,8589,5898,4679,8633,3437,5355,8925,5298
+,3863,5525,1648,6394,904,9957,2021,6023,6021,8768,8841,1923,5989,2664,7465
+,1539,327,9576,4830,6045,5363,9153,5196,6666,9060,7218,779,7606,4607,8968
+,1165,5276,7979,8362,5542,558,157,3183,6054,1684,5995,9293,4789,4079,5147
+,8798,6888,3517,4150,2615,7131,6976,7038,45,1680,5224,2831,460,6761,2246
+,2887,620,9984,4525,8250,8536,1202,8203,7547,6326,6151,7422,7924,690,8200
+,1736,622,5801,6697,8194,7769,2024,7449,1609,9080,4659,6808,4032,9825,3486
-,6086,6007,1469,7778,6111,1937,6734,3081,8327,7997,5085,3260,6180,7982,7355
+,8289,3043,8382,3877,1716,178,6711,2753,5642,4297,4539,779,2930,9677,7859
+,2582,9239,9896,6837,8384,6566,7149,7861,7553,4512,6570,2974,5399,1969,9552
+,3674,682,9375,7908,5195,2489,6349,9922,1276,9490,6146,6381,8015,3319,7642
+,7935,5349,9766,6194,5456,1522,7992,2462,5545,5845,1955,5706,182,748,2692
+,6353,6480,4841,7607,5350,2079,2831,3108,4367,3189,1800,4662,5281,8177,1951
+,3868,6468,2852,9231,8261,2066,1454,2604,4807,1891,8476,792,262,3638,8561
+,1127,3568,8186,1081,4013,776,5907,288,6181,3215,9930,5638,9084,1351,5053
+,3536,7455,4841,4807,3023,2182,2143,669,4651,2427,5752,2230,2719,3132,5904
+,1556,5845,5061,3924,8504,9254,7180,1555,5123,1067,5817,1252,7986,4943,7533
+,8703,2483,7993,2449,7081,7931,3128,6381,5275,8343,3030,7189,8209,7455,4292
-,7566,2936,7726,2392,9117,9575,4574,5875,3871,4908,992,6469,1007,504,689
+,1766,8869,9298,6462,5168,5060,7050,7564,907,1663,9936,4707,8567,792,722
+,3884,2816,6862,4531,6016,6912,9026,8133,7509,7222,4688,3497,8247,5415,1948
+,3389,1457,4977,3802,6195,6539,859,2069,3323,4345,369,6983,1389,8379,7341
+,6372,7315,9240,2091,953,9398,9377,4064,9630,2511,7774,9976,4289,506,1643
+,2246,286,7169,8640,1441,9154,4339,5118,7291,1558,176,298,5623,5527,3634
+,9573,5429,1185,4010,8615,6057,2909,3431,2067,5963,7138,6997,2321,1507,945
+,4990,8127,1201,5309,18,1255,2104,4762,7611,7610,6492,4516,6166,7060,2115
+,9738,2886,4518,7733,4022,1292,6983,1218,629,2328,6251,2497,2070,6008,158
+,6081,753,580,7495,558,589,5590,9548,2655,5773,6053,8218,2542,8019,36
+,3890,9398,9730,8907,6335,2376,9645,3875,8867,9187,7900,2259,8402,3110,3332
-,3076,4931,5181,2768,4916,8202,554,1761,7090,4649,9490,6504,9575,3278,9514
+,4976,2032,3738,273,3783,1500,3544,5692,2884,3223,8983,6345,7357,1354,253
+,617,9456,1740,8458,8669,6218,8625,5827,8239,6307,7168,4340,642,6892,3946
+,4503,8702,5493,5137,3995,1552,2492,9057,4033,9634,1189,3060,2154,8438,3607
+,628,9163,8647,4721,4725,1698,8744,3971,8245,5269,7178,4910,3114,9788,3901
+,6237,6429,1672,9386,75,3121,5622,6795,9189,9723,3071,6371,2528,9642,1734
+,3214,4231,580,2502,4079,1499,9833,9910,1043,8973,6199,1521,3877,7262,2762
+,5071,8158,5479,5151,9961,4223,927,3077,3930,252,256,603,5553,6440,844
+,4513,6953,5225,3988,5330,3171,5228,6704,4123,2041,8241,2252,579,5845,2771
+,5616,8742,7763,5415,5491,9994,9759,7022,9646,8178,419,1676,718,2754,8929
+,4251,9461,7530,1815,4390,3309,7553,7783,8484,9390,9094,6887,1745,3447,3215
-,8289,3043,8382,3877,1716,178,6711,2753,5642,4297,4539,779,2930,9677,7859
+,7839,8531,6824,1919,1061,123,7864,8749,2071,8380,2007,8023,7214,4748,8697
+,5042,3774,7811,1205,3835,7592,3574,6776,9291,8626,5539,8044,7924,4753,5845
+,1639,5768,3630,337,2867,6242,4033,2876,4179,7970,4220,9759,7336,9557,9108
+,3549,7216,4909,6531,4566,5397,2427,128,7381,8647,7311,946,4792,3152,9332
+,4542,9348,2029,6509,6821,731,1109,1183,2783,4271,6013,5228,3902,1012,9479
+,1234,5224,5753,1239,7223,1467,2342,9030,6839,2289,2050,2319,3675,5521,7660
+,5131,355,3074,1851,6623,5859,5292,3591,7623,702,4115,7431,8276,8846,7614
+,9428,601,5146,4710,3160,7310,8311,4802,7393,3612,1938,1840,453,7039,7035
+,8201,4114,8172,4675,9370,48,2373,6894,3305,6408,732,9131,8088,6964,3470
+,2325,9926,8516,7528,5921,1023,1808,8762,2933,6391,5639,4977,3830,7997,3959
-,730,8491,3403,531,7906,214,6398,3700,4270,4777,6828,5684,5828,3077,3458
+,6131,1183,8712,9801,9808,1089,8938,2879,6361,8891,8561,4439,2084,3575,9359
+,7390,4050,3395,3285,1315,5671,4119,3572,2553,6459,3586,61,2394,8339,822
+,5505,9799,6999,3781,2141,1808,7237,8152,1119,1285,6271,904,747,2761,7302
+,841,7755,807,8194,7003,7103,5779,9632,1310,4272,8103,9230,9722,2993,5941
+,2828,7126,8231,1477,120,473,6771,7286,1706,536,1802,7191,1290,5651,1103
+,764,2453,6304,826,7369,7525,3304,6439,7125,8819,6812,3960,1551,5762,1996
+,7278,2503,8550,5498,1298,6534,595,925,9830,5279,5564,6030,4464,2938,2858
+,6840,587,3290,3122,128,1986,9457,1973,4325,7381,3117,1480,1656,4407,1589
+,961,8413,3123,7163,758,8046,7575,9406,1874,6941,5946,5541,9293,6819,9333
+,9509,9908,3940,5446,4916,5599,7070,9092,1723,3039,7589,5672,813,9925,6029
-,107,8885,4677,4699,7854,3794,5066,8735,2240,4694,3269,3541,8721,2409,2375
+,4920,4121,5036,3618,2875,9268,2448,4954,8367,5305,3204,4469,7602,9238,211
+,1486,3541,4275,5775,1363,5017,1690,7237,1913,6246,9195,7763,3861,5338,7024
+,3585,7276,6282,3315,3197,1982,4522,9287,9006,6790,2930,1051,3125,4076,6691
+,1577,4711,1165,6132,7413,593,1348,394,4542,7391,7179,4214,6221,7561,7398
+,60,2986,7437,620,9498,9862,4949,7301,1349,1217,7636,4360,7771,8328,8372
+,6195,8818,5482,6969,3336,4573,653,8342,7906,5504,7204,5952,6988,969,4351
+,866,9406,8063,277,5254,4198,5463,6053,5402,3301,9002,3533,9511,1052,9866
+,4449,6474,7571,9402,406,524,675,5181,7737,4025,5185,6363,205,4665,810
+,5232,4164,4896,6991,3684,8833,8320,6490,2234,8657,2916,3897,8314,9251,1510
+,4267,4998,9296,6640,9423,6648,306,5651,80,9520,5206,2408,5713,9358,1980
-,7552,8037,4786,9660,6783,4221,7895,7594,5737,1519,6202,9159,2510,3967,926
+,9893,4172,2696,3334,436,1338,6813,1271,2331,9756,6677,7956,4253,9557,9612
+,1841,1618,3722,2828,1870,2324,5904,1245,6141,8021,2606,3667,3819,1913,3521
+,8034,915,490,9434,7136,7525,7786,9215,4241,647,739,1090,8411,1454,9679
+,5830,4163,5056,6705,7728,9514,2681,5454,7665,5309,1920,620,4783,9035,4654
+,8970,3715,1506,563,9499,6062,7001,417,8424,4519,2420,2533,13,6396,891
+,4772,8429,6078,5315,7154,8331,4347,4385,7027,8692,8446,5488,1060,5742,3297
+,6077,7528,8895,3559,6195,5363,6851,5508,2286,9671,3173,1295,7593,2853,5800
+,4517,6749,2455,4402,240,3830,5728,4850,4339,3481,941,3071,412,8503,5710
+,489,294,3563,2655,7508,6102,5554,3021,5262,7765,4512,8738,67,7409,3483
+,3926,3844,7110,4668,8885,952,6215,5824,5172,5764,8329,1622,300,551,6415
-,3742,7591,4246,8965,984,1481,3771,8523,336,3778,7991,9104,3736,2747,8914
+,4846,8322,6146,9820,908,8416,3406,8483,3092,9125,7756,3048,1370,9749,3977
+,1890,7573,3473,5392,523,386,9569,1388,1601,9045,7327,4254,4878,6569,1193
+,7340,6662,3631,2654,1151,8182,2826,2788,2431,1383,3400,6683,9765,5753,2364
+,8631,252,8023,6787,9542,5477,8439,3780,3644,6027,4285,7566,716,1009,5127
+,9647,2885,3894,2061,7435,2591,758,9687,4236,5548,6943,7697,8497,1361,3155
+,4842,2585,2887,2430,5617,2680,5976,1994,4604,1719,5525,5391,8948,8751,3124
+,835,1610,4991,4572,3110,9456,9646,3595,9797,4344,1033,4377,4988,5651,2840
+,8523,6802,1079,587,8783,4177,787,1403,8552,209,5721,5807,9036,4671,4291
+,8500,6952,4004,6103,2414,2692,2152,9308,1898,2818,7374,9206,7560,9314,3324
+,9770,734,6469,9857,7025,4175,7399,7791,7083,3701,9558,4917,9027,2219,6100
-,2607,2673,5997,3775,3504,1815,9117,993,9259,5772,2239,1133,9513,1843,2775
+,255,2604,4203,9710,583,185,9185,5452,8436,7297,1370,820,3456,8783,3768
+,4821,3703,4035,8110,958,6809,7823,651,7082,6378,8148,1426,1490,2690,9871
+,3280,1589,2088,2374,9487,434,296,2263,4893,2161,1527,4164,7312,7518,7957
+,4987,1605,9920,9065,6495,5590,4129,3879,7621,7536,1565,3922,4924,654,3446
+,8667,369,8822,3684,1212,4899,4180,1243,4739,9188,1317,4488,9013,7715,8556
+,472,6260,2457,4031,1251,8253,44,3349,4688,5350,1872,4731,3516,179,9914
+,2872,2445,3348,8239,8808,2088,7158,9144,7017,2317,6965,9888,964,6926,7612
+,2556,2579,4299,4272,2510,7182,2420,9881,4374,4027,8913,4967,7885,9134,6125
+,4443,1802,4182,8992,3712,813,4952,6243,7991,1772,2821,7784,2329,632,4490
+,8618,9828,2013,9011,3520,1771,5980,4235,1570,2427,318,5752,147,5529,3188
-,6868,5876,7455,7533,224,9426,6075,4296,8772,4855,9226,2497,8237,8712,9881
+,5454,2581,3998,5634,4876,607,9376,8549,7270,7423,2366,2863,2313,2359,3813
+,9064,9987,597,943,3186,1652,6963,4292,2168,7120,7655,2779,6575,8981,3659
+,5861,5250,4257,6427,2375,6832,9255,6129,6049,7720,3713,6025,5511,3618,3546
+,8800,467,2497,6312,3963,464,4130,5989,4045,2138,6418,6949,6616,3403,8450
+,2259,1809,3364,8440,5099,2643,1159,835,6191,5690,5421,925,4280,8629,5991
+,7804,9266,4232,3724,4917,4433,7386,8531,8453,961,7636,6087,502,9551,8135
+,4610,3568,457,3739,7712,5828,6884,3600,8284,9988,6141,4907,2774,3867,4910
+,7814,4574,8564,8141,9802,5908,6186,7910,1160,1989,4987,553,8907,8798,873
+,6444,3948,5181,3442,5732,8167,719,778,1803,3391,2358,3073,7307,2491,982
+,4911,1253,7918,7558,1059,2974,4094,6795,6976,3604,513,4464,7248,8874,3030
-,8973,6261,6010,8697,3084,7748,3201,666,6356,7285,8726,9382,8667,3100,650
+,544,1140,311,3244,9974,9600,876,3735,7972,7334,8402,4352,7511,2195,7264
+,7928,4377,6660,6475,5919,3621,4800,5884,6538,8862,8991,1922,1066,3336,8942
+,8692,5725,9584,6784,1647,3221,6263,4619,523,244,7968,6021,8149,8308,383
+,2681,7625,7122,8578,3496,5850,3650,8781,7566,9510,422,5004,5850,8252,2201
+,6356,2661,3929,7971,7782,2668,5503,4147,160,5178,2572,118,1318,5480,1144
+,1379,9971,4229,7631,9410,6169,9460,8076,7345,4033,6890,4492,8976,6237,4963
+,8415,6525,3088,4033,4522,7216,4668,7928,4128,2532,1809,7538,2240,3679,5856
+,9275,1944,7329,2513,5486,7571,2816,1017,8288,8203,2116,7194,1345,2932,285
+,31,6479,7541,3282,2518,2332,2611,9833,1556,9475,5032,3372,9655,5330,8642
+,8908,8807,3535,9321,9081,4276,773,7092,7071,870,3801,843,7127,9046,3152
-,4443,1802,4182,8992,3712,813,4952,6243,7991,1772,2821,7784,2329,632,4490
+,6750,9290,601,1881,5211,9791,5803,264,2758,1146,6608,2186,952,1890,7505
+,9346,4051,7039,1886,4568,8495,6886,9976,9529,1985,1433,1109,6533,2809,5344
+,8410,8155,9580,5110,141,2014,5958,9937,989,7548,2681,4403,8329,2700,3804
+,1806,1264,5053,9658,7645,95,4842,4236,9184,9523,2136,694,727,8094,1048
+,814,5271,989,8506,805,9851,9397,7566,1421,129,1041,6429,2347,8664,7759
+,8323,971,1950,4364,6067,970,1145,4858,7168,6949,6684,3633,8562,4314,4563
+,384,88,3965,8592,7008,9347,8157,9486,5616,18,9006,3136,4615,3437,3178
+,2476,6796,4912,8215,8333,4965,2716,3380,9460,3932,2399,9967,2899,5162,6544
+,7672,9525,9067,9654,3071,9297,9594,6358,6572,8304,7685,5534,3218,8047,9911
+,3999,2198,6014,7333,4651,1565,3421,7818,4402,9098,3043,5560,775,6104,8436
-,9794,3821,4432,9242,4484,4892,7652,4487,9571,5374,5318,7950,7664,2101,5508
+,6494,966,8272,6402,3533,4047,4229,1287,9226,2985,4202,918,6963,3485,442
+,6371,2272,6623,7388,8249,1018,4746,2697,7590,368,3231,8061,1690,2871,4240
+,6311,6408,7092,4080,2474,6715,5652,8576,3958,2893,9027,1690,9892,3377,1008
+,4822,3564,8599,4768,5107,9530,9566,2251,1329,8108,6180,5672,3756,4622,1203
+,9858,7865,1731,5708,1874,589,4700,2204,7872,7274,9176,3096,6020,1397,9027
+,6105,7793,7181,3988,7336,3058,4903,8399,8043,6854,7941,5862,1850,7586,8923
+,4776,6267,1436,3596,7723,5735,3796,3869,4837,8737,7342,9506,5853,3655,5075
+,4864,6956,5404,7294,6504,2924,8273,2772,3745,4274,1807,4926,8771,6847,3411
+,7944,499,1876,4923,635,4758,3394,6727,3662,5980,4901,8305,9628,1576,395
+,747,6250,8460,7424,5992,6882,8786,6741,2768,8742,429,5649,5951,2521,6141
-,3999,2198,6014,7333,4651,1565,3421,7818,4402,9098,3043,5560,775,6104,8436
+,6571,5400,7009,9795,6460,858,7002,1778,3275,3451,7064,5249,1935,8634,8224
+,9976,2530,4963,9968,730,5133,4795,8414,446,5009,1378,1987,5413,1016,8232
+,9979,5550,7035,480,3039,869,9791,5068,4495,6889,1324,537,9371,6396,1717
+,6688,7217,6533,9316,7788,1694,5269,1587,7719,5716,3140,3109,7255,665,7393
+,648,1218,8552,5969,2339,1374,5753,9281,5317,3776,5164,969,6888,5126,9394
+,6826,7149,8508,4596,7116,2687,2522,3391,5042,4055,4842,5717,8388,5497,5216
+,551,2844,3225,8433,7838,336,4592,1671,949,6328,3671,3849,9014,7020,4410
+,5229,6928,5419,6753,7514,7,1210,9342,5970,8599,9317,6405,6361,6919,1132
+,1372,1206,5296,4150,7513,4398,177,9187,2000,7583,6180,7034,3363,2108,1112
+,2563,4102,1042,2704,3540,1215,3715,5168,3680,6346,8050,8132,8819,1668,4757
-,6180,790,370,2690,8524,9046,6030,3247,6815,2152,501,872,8079,7821,5370
+,4768,2537,3,5297,1125,2366,509,9022,9970,96,4161,6765,3355,9160,1251
+,6365,9381,6143,3592,4051,2122,4374,5760,7014,6705,1583,1732,296,6517,3792
+,9267,2664,2643,5878,1663,7406,5457,9101,8417,7273,3794,3672,6767,3916,4292
+,773,8845,8900,4621,8869,4704,5251,5720,6494,264,3537,6131,2151,5098,810
+,6546,1463,6244,1614,381,9843,3522,5554,6870,2680,5318,3572,7747,2810,8498
+,8479,6211,3912,2616,4572,1880,2971,9302,7348,857,8600,1047,6258,3854,5636
+,5411,4123,6082,4194,9213,5705,6611,5437,2701,2542,2640,4292,2471,9649,1518
+,4147,9052,4125,4749,3825,6575,5561,7426,10000,8032,5515,2961,564,2221,617
+,6108,5665,5171,7892,2040,2794,5688,4523,155,5205,5633,586,2863,6988,84
+,1146,1640,7435,3831,3471,2186,5110,4799,9804,7577,3216,4060,2003,7314,6087
-,1146,1640,7435,3831,3471,2186,5110,4799,9804,7577,3216,4060,2003,7314,6087
+,954,1859,2224,5553,5824,8349,5769,6507,5248,5194,8461,6584,7511,8040,5028
+,2417,7002,7829,6785,3845,4737,4033,7898,4742,8428,1177,7324,8776,5590,8969
+,6344,699,4751,3462,2313,6779,5821,4840,575,9408,1093,7956,685,2065,1129
+,290,8939,2745,155,5550,7880,7680,8160,9723,4903,3363,4306,8531,7458,5135
+,8684,9942,2045,7702,4031,1845,225,865,9655,7825,1377,6844,4765,4944,2192
+,8361,6436,8415,6060,9932,9758,4006,3607,9645,2287,8430,2191,4121,7709,9333
+,5737,2552,289,6424,1379,2977,616,5231,6974,8031,495,2762,5324,2700,5231
+,4593,3940,8989,1174,9806,678,292,8003,7154,3405,6927,7055,1149,5999,9074
+,2957,6505,7490,561,3752,2406,2889,3214,4954,800,6654,791,7953,3128,1539
+,51,2818,532,6345,7612,9044,8900,9061,7941,3053,8858,6392,5103,9458,1406
-,4864,6956,5404,7294,6504,2924,8273,2772,3745,4274,1807,4926,8771,6847,3411
+,1638,5366,7937,2244,6306,8428,6764,6433,1721,251,2373,5885,7151,819,2767
+,6601,5029,9684,6966,532,8681,4675,9589,9529,9591,2790,8890,5418,7170,6675
+,1487,2953,6326,5492,3408,2366,6033,6424,5773,9330,8741,5667,4496,7155,5907
+,1461,4135,3102,6913,8446,7561,5596,3775,2100,7104,6145,2551,3131,984,6999
+,2951,1479,3999,7591,6561,2805,1600,2301,5676,8822,8282,3196,5720,3537,1188
+,3027,6531,2126,7236,1866,9370,9224,1651,2997,1518,8549,2447,8963,6686,3931
+,3416,1905,8561,8687,7333,1188,5035,73,427,7140,499,4797,7727,7033,5430
+,8364,5713,1713,2368,940,8348,2998,4153,2175,5228,5696,9975,473,3544,954
+,1602,4933,5304,5042,9523,9452,8711,327,8961,4154,364,6189,8936,3880,7842
