OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
-,2838,12933,11717,6347,32,5184,14935,4623,19,13074,12598,14065,1704,9536,1979
+,5407,9509,3264,3974,990,7985,1579,5743,3184,7864,7509,14787,1219,13335,4358
+,8065,11507,5112,6052,1174,3488,2156,1294,154,3492,11411,4560,10698,3428,13154
-,14145,2427,4328,1741,4471,8370,8214,10664,6454,9210,218,3275,6608,3955,8257
+,3425,3753,12464,11176,7777,2314,11793,2266,4325,4400,10855,7689,1639,5744,11111
+,7825,1978,8385,1273,8506,3846,1417,5114,4718,5982,10065,13664,14460,2859,8583
-,5407,9509,3264,3974,990,7985,1579,5743,3184,7864,7509,14787,1219,13335,4358
+,14992,4848,4992,6357,3706,13917,1879,11157,13415,2646,14637,14703,5748,11094,13925
+,4942,2583,1466,2863,11342,1591,1080,12316,4577,164,5709,2294,4042,1031,4099
-,11491,9132,8949,12440,5148,12690,1051,10263,10147,3390,2626,2694,1175,1022,14926
+,11930,13352,14825,12069,11387,8967,12322,8977,4058,5000,10775,9262,3896,14705,13955
+,2295,7038,6166,6260,5646,5601,7532,7920,5627,11872,10776,8934,14503,9085,2621
-,7619,2911,3549,6046,4708,7727,2876,2315,10520,12516,9520,5727,6701,5300,11108
+,5933,12453,971,6110,10956,7043,6511,5513,3023,3563,14357,8511,14442,2432,5631
+,6568,1299,13019,14487,1612,4923,6765,731,1240,3000,11915,5447,5077,12161,12955
-,3051,2934,3594,3705,573,9282,3134,10265,13614,7880,4581,11166,13482,2075,7222
+,4231,5256,13150,794,3953,14173,1210,8210,11871,13341,2606,7509,8315,10269,6588
+,4190,8018,10248,11928,5261,13862,8186,4416,10994,6251,2607,14527,13603,9492,4075
-,6736,1190,11391,13162,6855,4543,14859,8017,5571,5756,11569,14167,9975,9095,10553
+,7443,13912,8165,6234,10343,1759,119,2349,7266,527,11817,3369,9918,14481,7045
+,93,334,11825,8364,14630,6908,4572,2667,5186,1840,329,5135,7200,2530,12417
-,4307,4003,7278,7955,7152,2683,14340,3825,13337,3898,6748,9394,12301,5743,9324
+,11004,10927,1705,2265,2782,4937,9654,4878,6880,1919,7511,3683,2106,7529,7850
+,8698,2794,2361,922,1020,13149,2055,3483,6254,11494,3472,11247,566,6188,2793
-,12604,1075,329,14130,2920,13944,7277,3960,3202,11920,13744,13117,10261,13671,12131
+,13777,8644,12732,11515,13501,7158,14403,7750,2265,11791,5052,14255,3613,10630,338
+,10054,8123,5664,8874,11595,7560,7128,10182,12153,14737,12248,14250,11154,12899,13191
-,4942,2583,1466,2863,11342,1591,1080,12316,4577,164,5709,2294,4042,1031,4099
+,7371,13563,8068,13655,3288,8815,9600,8014,9344,5526,3948,12379,5598,9594,13826
+,13728,10871,9101,5189,13612,6806,145,12992,9820,8114,9996,8578,11173,8638,7643
-,4398,12346,13001,12150,6800,7400,2357,4677,10566,11602,14339,11151,9215,14456,6097
+,822,9863,11036,4507,10662,5118,4994,6847,12513,12534,346,5732,8360,8366,14515
+,11582,10479,4228,13204,7867,4237,4194,5765,8176,2628,607,1633,5728,3919,8718
-,14992,4848,4992,6357,3706,13917,1879,11157,13415,2646,14637,14703,5748,11094,13925
+,7013,12240,7367,4348,14506,8357,12615,2980,9067,841,12987,5816,7532,6806,7418
+,2299,6371,768,3548,4583,9096,7027,12129,9262,3651,1829,8371,8720,14342,202
-,13298,3072,4326,10820,14011,12959,14401,13642,7759,13941,3427,6870,11206,784,789
+,6831,1569,134,2722,14841,14584,9547,8688,3271,1165,1054,13695,11911,9302,4325
+,2206,12242,4153,13515,11251,13089,8271,1822,3015,11447,3913,10205,3319,624,5599
-,13220,195,7738,10817,3580,5608,14784,14501,1683,14363,9702,1958,11955,8802,6156
+,7040,6678,9780,1241,11579,14178,843,10452,7299,5346,2041,10276,6661,11683,3939
+,1382,9026,6223,10006,6025,10123,2627,4889,5477,13084,4215,4355,1110,2012,10532
-,13058,2689,11085,13601,6069,4065,14277,11042,9583,9731,1705,4347,2174,1647,9648
+,13574,4886,14901,10309,1756,3010,9718,14569,13079,5904,7366,7161,12389,14549,4990
+,6124,6382,7463,11201,3654,14451,7585,1669,12654,172,9025,14923,9397,10004,13874
-,6124,6382,7463,11201,3654,14451,7585,1669,12654,172,9025,14923,9397,10004,13874
+,5580,9427,14601,576,7225,3379,2436,9914,6183,7192,1749,1676,10080,4067,7617
+,4632,8503,11883,6273,14662,11019,14405,400,2709,5176,10499,2705,544,8417,3009
-,2206,12242,4153,13515,11251,13089,8271,1822,3015,11447,3913,10205,3319,624,5599
+,14454,4071,120,13404,7058,12124,6127,3287,4074,7664,3984,8576,420,5931,5262
+,6754,2504,13654,8615,14553,13953,8180,7951,3824,4929,5349,525,12618,9778,2441
-,7371,13563,8068,13655,3288,8815,9600,8014,9344,5526,3948,12379,5598,9594,13826
+,4475,9265,10676,6356,1327,8059,3708,7960,13520,1904,3762,786,698,13267,9014
+,561,13641,4000,6862,6306,14370,12245,9249,11132,6481,1021,5784,7226,10858,10623
-,11299,10130,279,8070,9745,14576,2569,2885,10805,2670,10290,9377,10265,13248,13148
+,3494,4308,2261,5822,6631,2447,11052,13256,2709,11979,7276,6176,11301,11812,9675
+,5091,4269,1318,13583,5625,4408,11779,3839,8177,14046,12026,6774,1446,11142,11941
-,7860,11191,2264,14999,9832,9918,14160,9287,6957,14984,8496,2823,10888,13903,11602
+,176,656,1559,9703,6235,3595,13767,11258,11474,4616,1853,667,4222,430,2460
+,3546,9879,12069,1391,4896,11023,4610,5427,8586,10121,12288,13915,576,13996,11340
-,6568,1299,13019,14487,1612,4923,6765,731,1240,3000,11915,5447,5077,12161,12955
+,6443,9208,6312,11093,10597,8204,8827,3374,6220,6615,8063,2982,7332,6043,3616
+,1551,12871,13023,8622,8770,8241,14432,11437,5151,7897,2766,5234,7716,14341,474
-,3546,9879,12069,1391,4896,11023,4610,5427,8586,10121,12288,13915,576,13996,11340
+,10657,2989,7470,14175,6139,1647,10916,11427,7364,11368,8674,11856,13728,756,3507
+,7098,236,52,12681,12521,9082,870,6962,2192,3049,353,11091,14550,9321,11198
-,13841,10230,12355,6904,11188,13381,6341,2232,6991,10205,13611,12890,7382,10403,8759
+,13919,14486,11250,13432,4608,580,12352,5019,446,2585,14753,12386,13170,5981,6851
+,6207,2946,9676,4095,940,11207,8671,10844,1852,11051,9455,1210,14788,10909,10198
-,14454,4071,120,13404,7058,12124,6127,3287,4074,7664,3984,8576,420,5931,5262
+,12970,3278,13146,4173,7708,8060,3412,470,11525,8273,8558,8158,6573,10913,9260
+,5640,13873,10653,862,1080,4928,14888,12566,13330,7030,1709,8966,4011,10501,3489
-,6443,9208,6312,11093,10597,8204,8827,3374,6220,6615,8063,2982,7332,6043,3616
+,6744,6293,12007,5282,11847,1849,13031,7414,14589,12644,7631,7531,6911,3587,2662
+,10616,6885,463,13226,3679,12776,14706,1837,8897,12183,776,8535,13545,7928,696
-,7825,1978,8385,1273,8506,3846,1417,5114,4718,5982,10065,13664,14460,2859,8583
+,2900,10846,10027,8915,18,9804,11895,11960,11182,4316,6142,11480,3169,13296,8947
+,10394,13513,1234,3525,5643,3793,4584,1468,3689,12551,5982,5158,2341,8176,6442
-,1551,12871,13023,8622,8770,8241,14432,11437,5151,7897,2766,5234,7716,14341,474
+,2310,4402,10881,10085,7607,7748,10520,1806,2844,7711,7612,13192,2813,4876,4476
+,7648,6061,11878,961,3491,8287,1782,14567,6973,8566,2528,12525,2727,11915,10644
-,5640,13873,10653,862,1080,4928,14888,12566,13330,7030,1709,8966,4011,10501,3489
+,9455,8543,14548,1248,7749,12159,10955,3411,1988,10059,11378,1684,13573,2915,3886
+,10366,13353,10831,6763,6152,10433,3816,1357,11177,5617,13469,12084,4721,6840,8914
-,8065,11507,5112,6052,1174,3488,2156,1294,154,3492,11411,4560,10698,3428,13154
+,8049,14729,8035,391,4013,4254,9797,7898,1024,442,7786,7896,14326,11810,6205
+,13188,10802,2224,80,2095,14072,2131,4468,11923,12881,567,12019,183,3456,5796
-,5091,4269,1318,13583,5625,4408,11779,3839,8177,14046,12026,6774,1446,11142,11941
+,10191,14106,6788,2510,9259,416,9392,12530,1185,10819,11654,9983,5880,283,3291
+,2649,7582,6045,1209,4641,7731,1269,7141,5396,12913,10386,7603,3628,6330,13682
-,6831,1569,134,2722,14841,14584,9547,8688,3271,1165,1054,13695,11911,9302,4325
+,2148,8443,3765,9044,9097,697,10597,14045,7750,3067,13819,6408,11512,1067,11680
+,683,2662,14561,11768,14632,14847,6917,8727,10783,5963,3640,13201,2797,13016,7359
-,8698,2794,2361,922,1020,13149,2055,3483,6254,11494,3472,11247,566,6188,2793
+,8892,12931,365,8416,5734,13553,1522,13363,5722,9848,895,14008,10979,6132,8982
+,7658,8469,7158,13408,14425,14270,6349,2346,5930,1531,6665,8299,10129,10887,1464
-,2299,6371,768,3548,4583,9096,7027,12129,9262,3651,1829,8371,8720,14342,202
+,7689,8328,14852,9625,1798,4876,4340,14781,6508,13331,6998,2790,4821,12512,2884
+,555,13125,6702,7967,5416,9171,9762,13518,10874,7488,13138,1194,1824,641,10158
-,7658,8469,7158,13408,14425,14270,6349,2346,5930,1531,6665,8299,10129,10887,1464
+,13559,3878,3700,14013,5481,10322,14636,3971,75,7317,12998,13376,3890,11295,1962
+,2103,7595,14864,8009,4436,11182,10117,9957,11512,14270,9264,13437,3321,9812,9721
-,7443,13912,8165,6234,10343,1759,119,2349,7266,527,11817,3369,9918,14481,7045
+,3093,14984,9930,1220,2302,14741,4597,5401,14928,10820,14366,11223,13078,14497,2862
+,9234,5803,1516,6409,5828,6397,2618,11655,6083,7629,1074,10781,1652,3034,5793
-,9455,8543,14548,1248,7749,12159,10955,3411,1988,10059,11378,1684,13573,2915,3886
+,10537,10643,4485,11442,5123,14601,5513,3995,851,7687,11121,13833,14583,4810,11102
+,12641,12239,680,11533,10551,2377,9796,10739,3742,1477,677,6890,5080,9341,2234
-,13728,10871,9101,5189,13612,6806,145,12992,9820,8114,9996,8578,11173,8638,7643
+,3013,4642,292,12175,123,14733,11610,11247,9469,8493,13607,5255,8025,1382,2828
+,10030,7793,2247,3728,13818,9523,4956,13390,13452,3432,6999,1557,4407,8161,14874
-,8892,12931,365,8416,5734,13553,1522,13363,5722,9848,895,14008,10979,6132,8982
+,6178,7576,6556,1833,8115,6460,12862,9055,10861,13323,8299,5018,7091,4381,8494
+,8262,4727,11640,10508,5357,10637,9119,10619,14736,8611,14782,6333,3747,5045,7141
-,11004,10927,1705,2265,2782,4937,9654,4878,6880,1919,7511,3683,2106,7529,7850
+,4642,9224,2916,13680,13814,5048,14546,12768,4986,12462,2562,7929,8342,11062,148
+,5080,8857,381,13483,9318,5987,3745,8717,14402,12762,2255,12770,2373,12224,14484
-,5580,9427,14601,576,7225,3379,2436,9914,6183,7192,1749,1676,10080,4067,7617
+,912,4102,3053,14024,13626,9102,441,9944,11221,9144,2553,1800,11512,14532,11228
+,5949,6220,11753,9878,10015,9481,9456,9500,3272,4847,14849,434,8442,7968,3707
-,4190,8018,10248,11928,5261,13862,8186,4416,10994,6251,2607,14527,13603,9492,4075
+,7319,5644,1931,8531,14638,5329,5774,12713,11320,5875,10686,13959,2915,6601,1464
+,10357,9245,2569,11905,2197,7176,6702,1887,6539,10671,10625,6145,1295,151,772
-,2310,4402,10881,10085,7607,7748,10520,1806,2844,7711,7612,13192,2813,4876,4476
+,8340,3318,11732,9869,1393,3113,11342,10532,2081,11567,14420,11110,9811,1422,6149
+,13047,7370,6682,7590,1976,2039,14194,2477,212,2155,3689,12056,7339,4128,12149
-,7040,6678,9780,1241,11579,14178,843,10452,7299,5346,2041,10276,6661,11683,3939
+,5136,13632,10573,13121,13034,9143,7159,5128,2749,8538,2722,5444,4778,12102,4270
+,9615,3916,13792,6731,6746,12965,14950,14164,7329,2767,1674,581,5857,5186,4651
-,12970,3278,13146,4173,7708,8060,3412,470,11525,8273,8558,8158,6573,10913,9260
+,13729,9132,6750,9394,10839,14166,792,2988,962,3600,8530,13359,13717,5138,559
+,6814,564,1205,899,14197,786,8166,8991,9580,4600,5504,6310,5714,349,11927
-,6814,564,1205,899,14197,786,8166,8991,9580,4600,5504,6310,5714,349,11927
+,10491,11317,616,10171,6950,13560,14354,5224,3323,10505,4644,12355,9623,14881,702
+,981,4752,14678,11536,14860,14543,5144,8334,3310,12751,12673,5131,13857,7702,11761
-,2295,7038,6166,6260,5646,5601,7532,7920,5627,11872,10776,8934,14503,9085,2621
+,1982,11166,8230,13405,11977,3043,9617,8682,8937,12272,13855,10733,7939,5639,2811
+,9287,9872,9095,12900,237,4830,11548,7923,10557,6792,3029,5238,13987,8659,2369
-,13919,14486,11250,13432,4608,580,12352,5019,446,2585,14753,12386,13170,5981,6851
+,12369,5540,11200,12121,2341,860,9657,9803,13948,10742,4064,11314,6828,2859,12559
+,5984,5448,11975,11211,7966,8109,6178,3633,7110,10190,4014,8995,5097,7781,997
-,13729,9132,6750,9394,10839,14166,792,2988,962,3600,8530,13359,13717,5138,559
+,9725,8544,7680,4830,10616,4077,4308,3694,14602,14531,9400,5057,3666,6884,9668
+,9440,8513,2343,5488,14608,309,25,10395,1892,7819,13778,5293,7677,2911,1027
-,912,4102,3053,14024,13626,9102,441,9944,11221,9144,2553,1800,11512,14532,11228
+,4029,4621,12319,7393,13996,877,3726,2664,9656,14934,7864,6380,8778,14528,13913
+,913,4726,8406,1350,3988,12411,11444,4914,12022,904,6820,4908,4423,14180,14062
-,8049,14729,8035,391,4013,4254,9797,7898,1024,442,7786,7896,14326,11810,6205
+,1568,11310,9694,8492,2074,10977,10332,10305,10818,7864,3395,10522,821,11747,4458
+,9244,1169,1958,2857,12253,8748,7635,6855,3268,297,3625,10033,3515,6817,5429
-,9244,1169,1958,2857,12253,8748,7635,6855,3268,297,3625,10033,3515,6817,5429
+,3462,908,8626,9982,14735,5126,3005,9456,10277,10886,12312,4160,4435,14439,6255
+,11560,4825,13860,9553,10682,1786,6306,578,7463,10526,9798,12616,1102,12707,4480
-,4231,5256,13150,794,3953,14173,1210,8210,11871,13341,2606,7509,8315,10269,6588
+,4048,6859,6390,12479,1785,10272,7158,10431,8128,8142,7494,11215,3797,14144,11967
+,8194,86,6686,7506,12676,8071,10869,576,1087,12766,7788,6114,5189,14553,338
-,10191,14106,6788,2510,9259,416,9392,12530,1185,10819,11654,9983,5880,283,3291
+,9304,7825,4948,7414,7040,9036,6581,10117,12114,13257,8723,9405,7800,1590,7213
+,6299,7482,14884,8406,12664,3290,6309,3248,11502,14252,8974,12227,3758,6241,11596
-,1382,9026,6223,10006,6025,10123,2627,4889,5477,13084,4215,4355,1110,2012,10532
+,6694,182,298,13671,2577,8341,9074,5717,6684,5340,1130,8587,4303,4537,7543
+,13259,158,12732,1920,1346,12215,5653,4779,7346,13464,5689,8902,13376,6155,7861
-,7013,12240,7367,4348,14506,8357,12615,2980,9067,841,12987,5816,7532,6806,7418
+,779,13837,2460,3069,4401,4877,9015,11683,3210,8950,10101,12990,8142,8848,9872
+,7539,9508,5656,10610,9374,3844,9252,14023,10751,10969,1852,3010,11901,1181,12558
-,13188,10802,2224,80,2095,14072,2131,4468,11923,12881,567,12019,183,3456,5796
+,9409,10932,7559,11931,939,7793,11673,7023,432,40,7392,14270,7922,14310,9375
+,8322,3195,10632,8905,8741,11809,2002,743,1313,11161,14035,14644,2432,5304,8825
-,2103,7595,14864,8009,4436,11182,10117,9957,11512,14270,9264,13437,3321,9812,9721
+,14207,13369,4731,10663,2030,11228,8932,504,8733,5619,9600,4276,13281,8110,5993
+,13218,6050,9612,6820,10264,3787,520,10569,4486,2372,11279,7992,4326,783,10764
-,822,9863,11036,4507,10662,5118,4994,6847,12513,12534,346,5732,8360,8366,14515
+,4924,6937,11880,8000,14492,11528,12727,12706,2777,9360,14060,3269,8085,1617,8114
+,12967,11180,14164,9278,1774,11724,7344,2338,13278,8187,11954,13061,4431,3622,11879
-,10030,7793,2247,3728,13818,9523,4956,13390,13452,3432,6999,1557,4407,8161,14874
+,4918,3384,3236,7159,4168,9117,8251,9043,8634,3021,8305,9178,13713,9505,9001
+,7386,12684,194,1124,7060,5275,1383,10475,9940,6989,2302,3489,7714,6107,13316
-,5949,6220,11753,9878,10015,9481,9456,9500,3272,4847,14849,434,8442,7968,3707
+,12997,1319,6345,9143,1100,262,3588,4121,7551,3841,886,888,11085,13745,13977
+,5852,4756,5502,11508,8932,3002,3893,1563,1244,8526,9100,5794,8986,3986,13672
-,7319,5644,1931,8531,14638,5329,5774,12713,11320,5875,10686,13959,2915,6601,1464
+,2229,2283,13934,778,9446,3031,6582,7429,11684,3646,265,7213,8757,965,480
+,7090,7691,10206,13372,13120,8116,3832,8956,10096,711,6848,7272,9626,1281,1224
-,1568,11310,9694,8492,2074,10977,10332,10305,10818,7864,3395,10522,821,11747,4458
+,7462,7538,489,14461,3910,12229,2974,6440,513,3725,13984,8398,12882,10678,6718
+,3553,5910,3441,12450,1214,7822,5208,9287,9654,1471,12857,3387,13052,3011,13508
-,7648,6061,11878,961,3491,8287,1782,14567,6973,8566,2528,12525,2727,11915,10644
+,11195,5797,889,6568,11729,5827,8539,1083,329,10837,793,1518,6720,4392,2233
+,266,1780,12237,792,9685,12952,4831,10756,6218,13088,11936,2019,14462,14608,7308
-,3462,908,8626,9982,14735,5126,3005,9456,10277,10886,12312,4160,4435,14439,6255
+,13121,10325,10783,12979,1093,1885,12978,6591,7868,10177,12207,8691,8560,8350,9481
+,5154,4798,1194,10293,991,673,11237,1898,11566,13234,7027,7149,2544,9100,10849
-,5154,4798,1194,10293,991,673,11237,1898,11566,13234,7027,7149,2544,9100,10849
+,4753,11184,6561,6648,663,3456,7588,14271,13701,5180,1959,5172,7520,6671,10487
+,13774,8095,7893,4781,14914,7379,8380,13182,10455,3097,14516,14738,3225,4141,4822
-,2971,4956,11924,12340,12980,63,7239,6212,7441,13093,10027,3181,10593,6030,10940
+,9254,2499,9965,66,7989,9879,11455,7187,12712,11784,9141,7692,683,10250,4511
+,12658,3469,9221,8151,6159,7706,7209,8697,6521,2654,4296,8257,11911,3124,12523
-,4029,4621,12319,7393,13996,877,3726,2664,9656,14934,7864,6380,8778,14528,13913
+,12572,5657,1816,1022,9936,7993,9549,2056,6708,11491,1931,9417,9397,5130,3324
+,12762,11842,14236,14293,11685,12594,13331,14221,4982,917,9217,6899,13758,3259,5403
-,779,13837,2460,3069,4401,4877,9015,11683,3210,8950,10101,12990,8142,8848,9872
+,12071,7305,1819,14907,12508,6503,3578,14172,4692,5857,12597,746,10839,871,12902
+,10340,10087,13193,3,3665,12128,2746,7684,14840,1098,29,4510,6943,9293,12814
-,2229,2283,13934,778,9446,3031,6582,7429,11684,3646,265,7213,8757,965,480
+,4997,6643,11207,14622,10558,10386,10249,3598,14141,4650,12321,5593,6105,3074,12274
+,12490,6563,1385,1762,5288,10266,13631,12365,5764,6524,14911,9402,3442,13256,6433
-,12369,5540,11200,12121,2341,860,9657,9803,13948,10742,4064,11314,6828,2859,12559
+,8896,3957,11967,8469,7067,2197,5141,14474,6846,5541,3683,13679,2100,6043,7414
+,5950,9109,7542,6941,1602,2134,10570,6158,2169,4973,13500,2080,4353,10454,14745
-,7539,9508,5656,10610,9374,3844,9252,14023,10751,10969,1852,3010,11901,1181,12558
+,13929,1715,14097,10650,8815,12895,7570,113,9967,13899,14554,13434,552,6926,2330
+,10339,600,8114,6230,9936,3596,8677,8068,12302,5712,11010,1057,5235,13563,14197
-,11930,13352,14825,12069,11387,8967,12322,8977,4058,5000,10775,9262,3896,14705,13955
+,8414,11227,14002,2773,12150,2723,13122,4725,411,7263,10517,697,10652,9428,2255
+,11610,1169,5444,8386,10853,3366,824,4772,4952,3316,10997,2414,6455,12366,2778
-,9615,3916,13792,6731,6746,12965,14950,14164,7329,2767,1674,581,5857,5186,4651
+,853,533,13794,11561,10472,6345,9880,10178,9493,1722,6902,9569,4743,10698,7353
+,8601,4106,2770,6975,9154,12856,11287,12995,919,10579,4153,13699,13032,8224,5085
-,8194,86,6686,7506,12676,8071,10869,576,1087,12766,7788,6114,5189,14553,338
+,7864,14767,6986,8342,349,10324,6039,9092,14915,6726,4843,8091,13470,5662,12097
+,12202,1398,52,14952,8962,2573,8223,25,5851,10565,782,12536,168,14817,3170
-,10491,11317,616,10171,6950,13560,14354,5224,3323,10505,4644,12355,9623,14881,702
+,11056,9400,5991,9116,5748,9819,9063,3929,11259,5566,5619,12067,13249,5485,6574
+,4512,15,14132,14067,10915,1879,8797,12318,8594,3228,2505,2518,9638,3026,7682
-,8340,3318,11732,9869,1393,3113,11342,10532,2081,11567,14420,11110,9811,1422,6149
+,14284,13460,12454,7188,1947,987,13706,7534,13596,3842,8497,6659,1532,13709,6126
+,5662,3617,3262,12660,1367,9734,13642,13094,6793,5131,6396,9839,693,7938,591
