OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
+,5569,5005,4319,14439,4842,6428,2918,12353,297,5463,10966,11309,4720,14446,7052
+,6097,2060,3510,10158,14653,10004,9531,14738,9188,10666,11015,587,11398,6290,1061
+,6607,7540,1147,6759,9502,10207,9732,2957,12618,14374,9030,14428,10778,12513,7069
-,2998,8967,10074,11054,5340,2803,11199,8649,1996,7424,3937,11282,2223,510,7403
+,13578,9114,2030,4917,3290,6356,9497,4170,9738,14976,9398,6830,1801,6568,6046
+,7272,290,5339,11756,8373,14935,1213,12480,12853,12722,10001,9684,11902,1853,6617
+,13529,2181,14821,2971,14591,2215,3218,14962,12673,12688,12922,13137,5503,12396,14629
-,6932,817,11732,11256,4826,1351,7538,10338,12335,10451,4141,13066,9333,5423,5338
+,8111,3641,7434,14984,10642,6434,3100,1736,12241,5060,5653,11329,9030,10274,10145
+,8279,8018,242,13954,11670,7503,11157,10278,6831,7515,7010,4704,4944,9870,6059
+,12709,14409,1317,13060,1942,3962,1135,14849,14934,6039,650,3634,4655,8166,9698
-,13956,14884,8540,369,680,5084,7533,7553,10315,3219,1313,4623,9510,13745,3220
+,10295,10302,11815,9433,8802,13408,5660,13717,11607,6735,11913,6101,12708,8168,14035
+,3414,2929,6328,9473,3451,13856,4774,11398,5012,7885,14587,9644,3068,9063,12812
+,6625,6142,8545,8981,5155,13241,3201,2805,5649,967,3264,1406,10095,13996,11923
-,13997,3265,6460,7728,12921,13293,6427,12109,607,3202,10353,9001,6391,853,11850
+,4345,10272,12281,4940,7970,4350,13014,9690,1904,7950,3285,14132,14897,12766,10214
+,5690,8489,1107,8808,9313,8393,490,4883,3172,5550,5011,3806,11950,13416,3257
+,8695,4561,2336,7571,10215,8543,4981,1028,3186,7216,7175,8144,7853,3133,7274
-,5101,8745,4685,12546,11740,14688,14108,13322,3839,14176,943,13171,1898,5140,932
+,13172,3010,13551,1128,9222,6449,803,2190,8931,12057,472,4316,2453,5532,2160
+,5461,12982,5649,8231,5715,3659,190,9620,12791,6469,316,8336,1493,3414,10516
+,5168,10521,3316,7413,5083,8994,13796,13070,12921,13311,9512,10060,13701,7203,4329
-,510,4144,11296,3637,9737,1618,4085,5797,4655,12449,3099,11162,14737,9995,4088
+,3576,4583,14395,8950,12399,1756,4446,9606,9911,3768,9722,3147,7024,9905,3358
+,11555,10163,13612,14200,2322,13765,11396,142,3340,10010,12058,13305,4237,7104,3630
+,10993,5722,9812,2934,2325,224,12653,7322,6872,14596,1417,8982,2754,13610,8773
-,6799,14074,7399,2039,4128,7083,4542,8988,7646,664,1170,2534,5236,8230,12394
+,13500,4170,10203,13523,9579,846,12534,1798,10772,14706,12021,1333,12991,10511,14029
+,13159,7726,7639,5192,14417,3794,12454,1870,4112,11686,6465,9478,5174,13969,2262
+,13543,14036,14802,5612,10038,11266,12899,10853,272,7848,84,9328,6671,4395,10942
-,11555,10163,13612,14200,2322,13765,11396,142,3340,10010,12058,13305,4237,7104,3630
+,8796,6642,12514,13700,7950,14268,11135,13134,6562,9710,9444,11299,5356,2268,14902
+,9911,13335,1725,13486,6146,8778,3559,7668,10924,9411,12605,11944,14257,14218,5615
+,4994,14344,13689,2594,7182,3688,8509,2051,7760,11200,6357,12698,2546,4398,10809
-,1733,4974,14654,2671,10186,4923,7872,4154,3856,6055,5561,14320,10204,5488,8973
+,8538,4905,4192,8957,14344,5230,8302,3386,9149,6160,3419,13751,10993,6494,1291
+,2746,8493,1770,9362,14858,8460,7635,1761,1923,6629,10409,6396,6566,13068,5181
+,10982,7701,8962,6204,13165,5789,7285,5123,7713,4971,1314,726,5975,4141,8152
-,12709,14409,1317,13060,1942,3962,1135,14849,14934,6039,650,3634,4655,8166,9698
+,3082,14774,7458,2260,5788,6136,12077,7504,1779,9432,10186,2678,12385,7304,14993
+,11864,12943,3721,5218,9776,2806,2113,2611,3644,12113,7099,9937,1364,14990,4719
+,13132,14230,703,11848,7000,7416,8724,7729,10532,12392,9469,11912,14027,5108,5942
-,2388,14911,2797,612,9118,9042,11261,1800,7170,3491,13792,12505,4616,2742,14382
+,11762,10316,1800,8055,7022,11954,742,4666,12462,12451,12513,7231,8132,3516,1608
+,59,10900,16,13751,5113,7411,7453,14609,7046,10103,1354,12271,5727,13377,10698
+,13313,7122,13994,8984,1868,9097,14064,9151,3609,5254,6066,4103,3817,10441,1090
-,14384,6616,808,2721,4281,13633,3121,4506,12005,9933,14310,9923,13650,204,7044
+,3943,7779,3434,12987,7687,3311,6309,695,5347,10117,3221,2155,10745,11132,1095
+,4374,3084,9672,11655,8004,7612,10257,7763,7712,5505,2706,515,8167,1784,11947
+,12681,12223,6870,5512,13215,13538,3095,2479,4912,13738,2908,8943,68,11568,2527
-,5871,14463,7539,10346,128,1624,2570,13040,9835,2978,14992,12193,2233,10763,2600
+,1315,10525,10858,13880,2617,7597,7262,8534,3976,4666,10125,8085,13861,4736,13209
+,7954,2564,11561,6901,3907,9180,831,14317,11445,8013,2774,4564,9134,11871,10949
+,13814,461,4528,12260,7635,4222,7121,7699,11698,11887,2923,10199,1021,1009,12193
-,2913,9165,14660,9471,913,8651,6399,761,6410,3868,12040,13483,8044,7667,997
+,3544,12071,12413,9326,11758,3477,2616,6200,6244,8454,2495,4767,12880,5535,14286
+,11509,9346,11201,13432,6257,5633,1684,12684,248,6085,7059,14278,6643,13798,3434
+,4230,13355,13854,4711,3209,2488,14493,12339,1991,8609,12994,11615,6962,9503,1704
-,13159,7726,7639,5192,14417,3794,12454,1870,4112,11686,6465,9478,5174,13969,2262
+,13435,11909,11880,6006,8338,5400,4252,2586,1871,9784,10715,7392,7899,3454,12395
+,1248,7265,532,9592,11463,5711,9845,466,5329,3511,3221,8204,7478,9715,1371
+,12281,8985,5814,13209,2091,555,14895,1595,50,4849,11287,6835,7266,9796,8689
-,2609,5574,4154,10319,10841,4424,273,63,14660,1552,9908,278,10344,5697,8205
+,11506,7585,8217,1138,2183,9517,11326,1481,822,3885,11908,9371,13564,3983,8040
+,8308,8122,58,5132,12016,1922,11943,5017,5793,264,14375,12680,11418,9264,927
+,10895,4578,1015,5057,8252,8579,8753,3873,1370,11186,12809,5252,5286,1823,5343
-,11072,13019,9732,2872,12175,1882,14197,3497,14912,5141,2814,1086,399,3714,10213
+,5146,7493,9222,8424,14503,101,7410,9318,721,11750,591,13911,5961,5757,11168
+,9710,12036,3339,10616,9814,8,4549,4753,7794,7640,7875,14938,5680,3607,4635
+,11207,6013,7625,14318,4343,10120,13529,13397,5719,6558,14765,9918,318,10240,1204
-,10295,10302,11815,9433,8802,13408,5660,13717,11607,6735,11913,6101,12708,8168,14035
+,11111,311,5975,3500,9076,7946,5850,14573,3231,4989,2965,8203,2967,7504,10811
+,14007,3387,8033,8712,977,9306,9822,13450,14274,14659,10321,4027,5808,1202,9018
+,13549,13845,13323,4841,5272,1806,5225,10639,7262,10424,6602,11825,1155,12399,14441
-,5168,10521,3316,7413,5083,8994,13796,13070,12921,13311,9512,10060,13701,7203,4329
+,9917,13295,664,7744,3213,1851,2269,9960,6113,7347,1455,8985,12801,9358,5727
+,9052,11578,2121,987,9936,2621,12203,85,2596,14931,1763,13766,9229,4830,9940
+,7651,1230,8973,12921,9516,9828,6544,13444,6808,5588,7105,8953,7358,945,14464
-,11509,9346,11201,13432,6257,5633,1684,12684,248,6085,7059,14278,6643,13798,3434
+,14228,13882,5613,14540,8736,7994,3259,7255,6722,8635,8015,9756,2739,10257,9457
+,7420,4669,13644,4555,2716,8845,13769,4376,90,628,14808,12747,5314,11632,13065
+,4923,11540,10609,5801,7487,9623,7383,14817,572,5634,2221,2835,3591,12166,7610
-,14007,3387,8033,8712,977,9306,9822,13450,14274,14659,10321,4027,5808,1202,9018
+,13364,2112,8771,9846,2184,7040,3893,8475,7320,2642,8711,673,7405,605,6429
+,14669,8267,8407,1939,3663,6821,7527,1855,13331,12999,3273,10078,8933,8240,6890
+,12484,2102,6870,3154,10118,10677,12136,9689,7927,13718,8635,7221,1159,4964,2858
-,8111,3641,7434,14984,10642,6434,3100,1736,12241,5060,5653,11329,9030,10274,10145
+,12256,10500,1819,324,4389,12605,10267,947,1725,6768,14179,7426,13036,1521,9478
+,14373,10918,4954,11721,11485,13468,10131,14120,6941,34,1434,628,4251,6402,8785
+,12254,5161,6749,3400,5545,1106,14999,12257,14624,13457,818,14378,5493,2715,1698
-,9140,13395,7436,9754,2427,12465,787,3634,5474,7478,3362,2611,10820,270,10257
+,9448,4801,2687,3497,84,14231,6019,8010,5318,11688,4539,5868,11573,12698,7479
+,14612,12197,14813,8747,11960,6609,8109,8829,13673,11285,10569,12022,3355,8745,6907
+,6348,7851,2066,9743,1876,11790,11283,14293,6300,6779,8109,9600,4971,1525,6055
-,1248,7265,532,9592,11463,5711,9845,466,5329,3511,3221,8204,7478,9715,1371
+,10006,10339,11029,986,3097,7867,9514,2770,13349,10943,7208,7599,10637,8414,4724
+,8604,6383,8849,6809,11912,6585,7833,3076,13802,8744,8799,3293,3833,8195,12198
+,1857,2102,14433,12199,14387,14828,3666,6462,510,11725,12938,14891,6797,2768,9734
-,8308,8122,58,5132,12016,1922,11943,5017,5793,264,14375,12680,11418,9264,927
+,3076,12646,363,9260,11246,5598,8216,3416,975,11035,3805,4448,4816,14297,1576
+,14254,6180,12623,14285,2775,514,8438,13185,2568,5174,9805,9150,3496,5128,14769
+,12669,11988,6933,6746,9564,8450,2901,11745,3459,7744,5671,9447,1563,4836,1416
-,1245,8935,9473,2406,3733,2318,9300,7249,1033,2938,7244,31,11371,4680,5902
+,5518,1132,1348,1098,6011,1903,12568,13699,5972,4463,11623,529,6252,14484,6150
+,10920,3682,12696,7910,12513,8285,12474,7206,3122,447,7588,5116,8736,1192,13932
+,4980,8103,2543,5004,6823,5525,6601,13907,1231,9974,1067,11138,12110,3344,4084
-,9448,4801,2687,3497,84,14231,6019,8010,5318,11688,4539,5868,11573,12698,7479
+,794,4454,11315,9634,2403,702,10756,486,1220,12583,11376,10243,13599,9980,3210
+,9888,2456,4236,13265,1605,9051,12893,6302,10798,10569,11320,11335,12195,3234,13098
+,9725,7964,13200,10403,10856,3201,6486,12128,8417,13283,11253,11117,332,10568,633
-,11762,10316,1800,8055,7022,11954,742,4666,12462,12451,12513,7231,8132,3516,1608
+,14570,694,4332,2514,2660,11541,2604,3162,5025,10574,12733,12587,6843,10466,9726
+,314,13880,5012,7767,6003,4014,2083,6494,13630,13601,8171,8766,2872,14978,12080
+,5614,6859,9883,13622,5987,7951,8799,4917,9124,9560,9621,7354,11516,2576,14224
-,5569,5005,4319,14439,4842,6428,2918,12353,297,5463,10966,11309,4720,14446,7052
+,7179,6712,2114,7531,13034,14685,1043,12108,4058,12468,3885,1065,7707,13596,7923
+,4291,7724,9930,7716,7056,6324,1100,6607,4635,14637,4297,5360,14527,8561,7129
+,663,5199,5292,5068,11777,12885,6495,1736,9535,10622,3969,13373,10033,12820,9391
-,12681,12223,6870,5512,13215,13538,3095,2479,4912,13738,2908,8943,68,11568,2527
+,11580,1822,862,14067,9865,5174,12763,828,13300,172,1173,6356,9470,2915,12348
+,6140,10590,12113,9247,8931,538,7483,2634,9616,5368,4925,5573,3697,1094,8465
+,13902,12604,7728,3607,9306,10565,5009,10545,4968,6819,2158,2814,7931,7651,13987
-,5614,6859,9883,13622,5987,7951,8799,4917,9124,9560,9621,7354,11516,2576,14224
+,2640,6440,5406,13609,10476,10287,2000,6534,6794,2429,2013,11852,10241,816,6129
+,1977,1603,9053,5521,12545,4983,4,13318,8061,5628,5393,425,9725,9554,2661
+,448,8916,670,11224,8013,10770,7372,5111,10415,14288,13467,9333,11682,2485,7703
-,7420,4669,13644,4555,2716,8845,13769,4376,90,628,14808,12747,5314,11632,13065
+,634,11584,7814,9646,1351,8431,733,11570,4088,9616,1274,4673,11982,8356,5894
+,13591,12415,7395,2233,7748,9807,1000,11467,12642,7371,12336,11612,9179,1963,11362
+,14399,5434,2378,6065,10230,3340,3794,14601,9594,5813,9000,3035,1657,9961,10471
-,14570,694,4332,2514,2660,11541,2604,3162,5025,10574,12733,12587,6843,10466,9726
+,6480,8468,7912,6010,12922,6758,8374,10741,14778,14441,3941,14612,9535,13912,12409
+,7015,7009,12557,2612,13133,7893,6087,9795,7671,8880,7106,518,4320,1891,2172
+,2060,616,11858,1425,9265,7303,9551,5750,7731,831,13061,8008,4053,11111,3053
-,8973,4147,10005,4226,4689,10324,8086,2874,2835,9779,5623,2077,3514,8635,6484
+,7597,14809,6957,894,12640,4718,12011,10190,2034,9947,3170,2439,1568,2174,9617
+,2291,1381,13845,844,8544,2821,6929,5111,2524,368,13237,11280,7849,5442,3720
+,3547,2681,5819,11732,6995,12327,4717,14926,11176,5395,10030,7872,7082,9046,5174
-,1857,2102,14433,12199,14387,14828,3666,6462,510,11725,12938,14891,6797,2768,9734
+,12923,11020,38,7070,2040,11218,8511,2493,2325,3756,8943,13809,14022,13786,6371
+,2895,14743,11213,4064,90,12336,7098,6965,2747,6306,13810,8415,5940,5908,7554
+,4765,2053,9312,9440,14725,14249,13029,167,14776,8831,4330,7672,2372,4586,4675
-,7954,2564,11561,6901,3907,9180,831,14317,11445,8013,2774,4564,9134,11871,10949
+,13783,14723,6287,10247,3430,3936,6360,10774,6352,10132,5008,11305,10736,363,11911
+,4538,11011,12048,9656,9118,2154,1398,7119,3371,5394,8892,6059,6545,2383,1618
+,10357,6656,1756,6381,7893,3515,3785,9336,11364,9498,13698,12637,1955,10187,4626
-,6881,7136,4672,2491,1216,13469,4165,14280,9425,5544,2000,8055,8458,12448,3925
+,8944,755,2374,6270,7587,5835,6876,7900,899,10932,11161,11775,8659,4946,9340
+,12120,5357,10174,832,7203,13374,1433,2001,11730,12603,1136,294,5811,13646,10925
+,5111,8440,12831,12441,6174,10029,7751,4030,10731,9169,14411,10996,11426,11667,3499
-,14769,1784,4108,2665,5349,7468,6689,4689,5198,1935,14240,5085,7027,3489,14796
+,13375,12278,9488,5170,5652,3002,4753,5273,12147,11561,13161,14678,11217,11340,8899
+,6333,5004,1316,3492,13084,4380,8844,10344,7317,201,1299,9437,6536,476,11670
+,12703,3045,12891,3556,11700,6953,8292,14255,2711,5670,12150,6931,3054,7010,14881
-,13375,12278,9488,5170,5652,3002,4753,5273,12147,11561,13161,14678,11217,11340,8899
+,13365,13528,4036,7123,2615,8112,4518,13505,8206,11557,14608,4025,2307,11613,3737
+,6682,2070,4530,10589,6355,12092,1677,10573,1521,12892,2434,8294,8326,505,10566
+,7667,12529,11390,2335,9302,12492,4803,3896,2416,11213,7064,6146,5551,10916,6187
-,2433,875,613,6117,10828,3075,1645,1833,9249,12881,7423,2455,1805,6029,9014
+,10827,12062,12450,9286,8715,9614,13212,13700,13148,9298,10541,11697,12478,1892,3762
+,14240,12195,13104,344,5659,13305,1208,2368,5179,13748,13837,767,14903,13265,6583
+,6999,4919,5600,54,5580,1948,6724,7892,879,4325,1515,4798,4102,4669,12034
-,8944,755,2374,6270,7587,5835,6876,7900,899,10932,11161,11775,8659,4946,9340
+,2524,1452,5131,1153,6059,9443,9104,4184,11458,1816,7800,4261,4905,9077,181
+,5415,7436,995,13986,6272,7438,737,9671,2349,14480,5418,3107,2680,10364,8320
+,6803,12856,4934,8119,3802,12060,5063,9657,2106,14574,8259,3148,11758,9182,3035
-,361,3146,1098,14276,13063,5884,8761,8393,14720,10738,5606,8179,2028,14931,13671
+,9376,9374,4920,6608,12427,5301,4466,216,13950,5809,10320,3811,7983,9877,1373
+,6899,11489,153,4552,3141,780,11081,7981,1433,1748,12054,4775,13059,12275,11439
+,668,13803,3056,11858,5162,7282,12176,5777,7288,3143,10969,7722,7272,7731,2309
-,9376,9374,4920,6608,12427,5301,4466,216,13950,5809,10320,3811,7983,9877,1373
+,672,12894,4808,11336,6934,561,11148,2623,13668,9587,3584,8870,2710,12832,6205
+,5283,12828,13011,3537,3791,2634,5569,2741,5753,10624,12922,12756,4021,11943,5783
+,3448,9672,11411,4874,2983,7092,999,3098,4322,973,14254,6045,14533,5508,10928
-,4994,14344,13689,2594,7182,3688,8509,2051,7760,11200,6357,12698,2546,4398,10809
+,7702,8273,10441,14287,10300,236,8908,1276,12038,9885,12632,739,14038,13818,14828
+,7831,14454,7374,4177,9372,13373,5243,5486,2516,5175,11411,2713,3392,12283,3330
+,6721,2541,4198,6430,10350,206,7698,8597,7071,11826,6757,6903,13724,6705,10586
-,4374,3084,9672,11655,8004,7612,10257,7763,7712,5505,2706,515,8167,1784,11947
+,11342,14544,2921,11028,6304,9459,12102,13581,14447,3235,12313,12970,9929,7913,9609
+,5028,9736,5468,6863,14198,2471,2408,6915,3544,7396,1881,8805,5733,7043,9561
+,8284,4669,5452,12890,363,14395,4161,2027,13705,12969,2071,12506,3281,4374,2614
-,6031,8110,6320,108,14323,5962,7911,8635,3610,653,11003,4449,7508,2123,6712
+,12779,9803,7071,14906,7038,14672,4713,14255,9632,6663,10391,11782,9112,10128,14723
+,6660,4033,14498,1068,404,6540,1741,4513,12493,11230,4240,8693,10635,11348,5499
+,9371,9377,13253,3997,5694,1589,1569,7471,6640,11466,4452,13243,9185,3030,13140
-,10920,3682,12696,7910,12513,8285,12474,7206,3122,447,7588,5116,8736,1192,13932
+,2959,9013,1722,4202,1840,601,727,8215,4120,1681,2934,240,7527,12990,12627
+,6200,14032,12692,10420,4181,8101,183,7535,2598,536,9956,12628,2872,11736,9331
+,812,9830,6708,9306,12364,10230,7605,8843,13527,11083,9877,5518,6105,13460,11508
-,9371,9377,13253,3997,5694,1589,1569,7471,6640,11466,4452,13243,9185,3030,13140
+,14102,11757,5706,12700,3535,8412,12825,8883,9014,6711,6739,7688,124,3377,12448
+,6931,13893,1583,3777,9715,5238,14270,6778,10122,826,12174,6581,701,6196,11118
+,10395,6872,6797,12516,6259,9898,13970,7035,11811,2712,6800,4989,9008,5850,8864
-,7272,290,5339,11756,8373,14935,1213,12480,12853,12722,10001,9684,11902,1853,6617
+,941,3730,8316,5669,2002,248,2791,13938,284,9709,14997,6185,3013,7964,193
+,472,14808,14081,9383,3879,5055,5680,13521,11692,10948,4970,2018,7951,11815,1379
+,8860,4462,8585,2835,3613,2808,3750,5184,13524,10553,8831,14431,1220,4453,11442
-,6899,11489,153,4552,3141,780,11081,7981,1433,1748,12054,4775,13059,12275,11439
+,13182,13686,11776,2301,10643,3932,8880,14717,9183,11461,3271,12876,7975,2455,1125
+,5021,2135,1171,2769,2595,5320,8702,11065,13827,2579,13066,9182,11292,14407,8623
+,13574,341,7189,7516,384,4540,13691,8016,11364,10359,2090,8486,14752,3415,14264
-,13500,4170,10203,13523,9579,846,12534,1798,10772,14706,12021,1333,12991,10511,14029
+,5870,13726,9966,8023,2288,4833,9915,14684,8426,207,14339,11055,6996,2901,9890
+,11276,8009,8293,3043,6015,2226,14535,9422,6171,3636,4702,1044,7585,10388,1075
+,10566,12718,2726,14271,3612,11008,12799,6142,5571,7907,13458,1688,6109,12379,1527
-,4517,13057,13781,13462,5487,3400,13497,13207,6925,3460,10355,10274,4684,11348,884
+,3768,9206,11136,12961,3064,7595,11294,5100,6083,10585,9527,10970,3440,4334,1886
+,11967,13821,2150,12230,8510,4195,12603,3617,10459,9273,838,11646,2278,14554,6821
+,14592,1015,3248,8376,9542,3988,11903,12025,5941,7307,8074,10390,11466,10812,9486
-,2959,9013,1722,4202,1840,601,727,8215,4120,1681,2934,240,7527,12990,12627
+,1281,7264,8356,4616,9535,690,9684,13998,3110,9873,3269,5682,4741,5904,8333
+,11443,46,6489,10368,8230,9064,191,10320,14751,12102,13793,6381,9522,1203,14913
+,14349,6764,4728,12542,6202,14166,2935,7186,10844,9045,6543,5202,9958,1844,3365
-,5995,3859,7401,11124,10004,10741,11709,13988,1720,13937,11574,1523,5466,5046,2897
+,13705,5225,10819,4852,7876,3270,6280,1894,12729,10238,10210,4918,14258,13500,12667
+,8566,13504,301,10395,7988,9048,1994,2272,11282,2362,9127,5553,5869,7132,43
+,2431,12343,6822,5115,12183,4558,6098,8557,6668,2229,4579,4749,12056,14147,10335
-,3943,7779,3434,12987,7687,3311,6309,695,5347,10117,3221,2155,10745,11132,1095
+,12613,10124,10349,10469,2977,13778,4208,3851,12925,3625,12127,3977,1387,9999,4977
+,4631,9894,9298,8781,4297,10135,527,6699,4920,5086,2597,8136,8599,12820,14074
