OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
+,6182,13086,14828,4435,14308,11172,14380,1009,7674,11634,6668,4576,9139,10874,509
+,2657,5697,7864,5159,12957,14227,10640,12773,1734,11715,10958,7749,4745,7618,8053
+,11203,7599,4868,12083,12942,977,10462,3049,7635,9416,6607,12148,13881,12790,4619
+,576,4394,8003,13520,91,2081,7088,6074,9965,4889,2072,6966,11738,6298,2332
+,13032,7778,1061,13424,7465,12054,6599,1624,1345,7289,9340,2404,8285,9653,7294
+,361,10093,10756,4127,1047,5060,14554,14597,2731,9294,2302,5361,12486,4353,2942
+,10610,10187,7726,4449,1891,3969,5915,8125,9335,13570,10241,10584,9047,9458,5009
+,14615,9881,12443,14293,6772,1533,3558,11234,10127,175,647,1967,5307,2760,7015
+,14900,5559,8906,10798,10565,10620,12444,4780,1419,2420,2123,4879,3302,6445,14709
+,9359,5216,11432,1174,2242,3568,6554,5465,3124,753,9616,8330,6673,6833,451
+,12593,9383,4036,14307,13056,9019,10567,2715,1038,78,7533,1501,4847,618,2548
-,8478,4380,4322,7855,11167,6950,2076,10836,2834,9470,13056,6753,13913,5532,10058
+,2976,7491,9984,8614,8283,12065,12083,1053,14325,3279,1756,820,9647,6222,8437
+,2087,9370,4205,6538,7733,6200,2567,3130,11086,13832,5082,9947,1769,4648,13447
+,1217,4210,14302,4624,14826,11951,8538,9078,14071,586,7095,12963,14401,826,4153
+,14070,9168,9783,12817,6161,5950,2346,12440,8145,10757,319,12200,4591,6749,8122
+,8581,6097,7625,1418,12437,7248,3600,592,2649,9515,6411,1419,12152,1514,9352
+,4738,6849,3556,9025,12939,8020,580,13229,14252,11291,14178,6734,7944,11630,9796
+,11765,11123,4522,12775,10420,14137,4324,1091,1929,14557,9871,6843,14429,11258,13751
+,7671,3606,6846,270,10106,14257,182,7877,10471,2331,5228,8094,3631,4603,10748
+,8546,10950,12642,11577,7765,9165,8018,3156,6322,13770,12451,8058,13324,4369,5724
+,3237,9505,8584,552,3047,13739,7438,1101,11358,5696,2118,6508,4593,10755,10348
+,7785,8589,6527,779,11953,8101,10178,3577,1194,6863,14441,1601,13090,10143,13001
+,3939,4274,11571,12415,11213,11936,12927,2043,13743,11799,879,1986,8296,7227,4185
+,11027,10314,170,12664,14153,8800,7313,6918,2990,9215,12322,6041,11424,13914,4025
+,12572,1167,4200,14788,2207,12188,7574,5206,12018,12640,422,297,4602,14170,9419
+,5792,10876,9871,9034,3636,9935,10622,1315,11424,5569,10560,10748,4530,9913,3945
-,11203,7599,4868,12083,12942,977,10462,3049,7635,9416,6607,12148,13881,12790,4619
+,2013,13631,2798,7869,4127,14583,3953,9504,13464,8324,1942,10601,5312,6681,1710
+,12466,864,5708,11777,5391,4551,3518,9806,5648,3268,363,998,9766,4745,301
+,9194,14442,10778,13700,3787,5713,1589,4039,12065,3437,3883,1531,12565,935,3149
+,5518,6138,4479,332,8213,14051,11870,12071,14150,8516,775,10084,6002,10412,13678
+,6622,7497,6982,9901,1411,12889,10738,12124,4353,3981,268,12359,1127,12414,9120
+,1367,3272,10074,3457,879,14388,5131,11828,13118,6961,4041,1948,12928,721,2523
+,3436,11338,12665,13746,2916,1929,8182,3729,1418,9853,810,8681,14110,2774,14807
+,4710,8001,5840,9554,14919,10713,3114,13220,5445,1148,8701,7470,1248,7380,6415
+,2239,7447,4286,10803,1112,4533,10156,13353,5152,7942,1659,8186,10599,10994,5792
+,10665,13455,9425,9947,14382,13242,5846,10787,7516,452,14261,8656,3662,5581,1719
+,14884,14284,13908,11387,13314,304,13511,13449,6690,10665,6289,14783,14522,1486,9375
+,11697,12057,10094,10707,5974,5227,14192,8166,2747,399,626,14863,4534,11538,6284
+,13153,5121,14145,10779,13242,12720,14961,4312,12511,14922,14843,2217,14296,10302,13962
+,13989,2138,13032,3002,13547,1654,10583,9086,11104,12915,8426,9242,8745,7366,1479
+,10299,5473,263,14599,7474,700,5598,6504,5489,2134,14716,4759,13915,9343,14511
-,13989,2138,13032,3002,13547,1654,10583,9086,11104,12915,8426,9242,8745,7366,1479
+,13034,446,7748,10432,344,8905,246,11670,10399,1187,13123,4587,637,11993,1713
+,11079,14113,3410,14923,738,4582,11379,526,10298,2565,13839,4863,3888,11991,13162
+,4098,8781,3548,7726,7612,11070,3150,12661,11787,9932,9531,11868,14408,2412,5022
+,6675,10630,10361,1895,8190,7235,3158,2129,7470,9403,12377,7095,3516,1789,1309
+,2165,14236,901,13789,494,9236,1089,7471,14283,9664,10497,10292,7032,12100,150
+,6674,9038,4455,5459,10069,3502,5481,6322,360,5591,5664,6851,3566,11204,8514
+,13008,1084,13828,11834,7640,13327,6735,8207,12768,8424,13382,11154,929,4529,3461
+,10623,3119,1160,2677,10905,11810,7372,5268,6201,9017,5286,5710,10378,2340,14871
+,333,4536,6880,1546,5898,5449,5249,4165,9075,14947,9979,13548,4831,2342,552
+,5759,3907,1993,14039,5647,9265,11124,12222,4578,14117,11685,5142,4903,7069,11952
+,13686,4361,13259,664,9849,5268,10763,9586,8326,3147,7681,6230,10973,5139,1034
+,274,4691,13232,11575,4749,6215,2813,8014,6387,5500,13333,10375,8626,959,11913
+,14015,4984,9333,5132,8693,3821,11662,1856,3225,10372,6783,6631,9153,5851,6779
+,13895,661,5795,12172,7225,11422,10188,5185,11328,12642,6845,1720,1057,5545,6865
+,5974,12284,2351,13941,13257,6874,14409,14658,2103,11531,7749,14901,5276,6703,10294
-,12572,1167,4200,14788,2207,12188,7574,5206,12018,12640,422,297,4602,14170,9419
+,13706,14563,3686,9284,10806,5828,7070,13224,6810,2680,3302,9609,5797,1483,4150
+,3500,7217,132,10151,4705,5955,14997,11950,5000,4595,10013,4649,13225,1999,7056
+,5117,14398,12586,8471,8813,10768,1878,13617,11077,5143,4073,11510,43,12009,8874
+,10737,5407,4859,9077,332,12359,10710,5474,14576,13924,10471,8668,7477,4713,9552
+,13506,618,4277,949,1311,10390,10779,12204,2966,2507,2156,2509,10785,1792,14754
+,7342,14057,2279,14071,8852,12582,1835,1790,3183,6311,8083,8061,2728,4995,7138
+,1551,8314,1369,6476,7867,3054,1791,7711,3780,11730,7346,4147,856,6340,14202
+,8193,9978,7721,382,14983,9321,12628,4726,14691,1406,2589,3395,3430,13003,7015
+,1048,3560,11373,10873,6187,6477,5386,1938,6440,3386,2247,4412,741,14191,13310
+,5490,6953,9353,2657,5467,1942,4716,8766,2840,9071,1318,8271,8930,1988,10989
+,11670,7191,10840,7811,597,2566,3357,4729,4564,8599,10248,5168,11756,13403,13448
+,1721,8945,9795,2680,7633,6741,4427,7914,11627,12482,12219,9954,9020,1301,10844
+,13387,6785,12887,11614,7323,5951,595,6425,13019,1824,13589,5094,7895,503,5942
+,3673,8444,4501,5234,2631,9663,6272,13888,5476,8548,4444,4337,51,6284,14416
+,11327,11442,6642,2709,10569,6901,11412,10465,13977,9601,7709,12721,2723,6512,7620
-,5497,14886,7454,4402,1167,3241,7086,13814,773,11051,6662,565,14046,5715,218
+,5024,2075,6509,9698,14850,11453,2727,9481,14959,2273,9482,13308,5538,9514,3210
+,4722,4689,13468,4461,12297,5480,108,2096,6802,112,10599,3309,8166,8594,10230
+,11322,3466,10477,13781,2701,3351,7641,8872,9677,6291,5811,2992,3434,8223,5607
+,11645,11057,6722,1835,12757,4295,6281,7508,12416,14093,4087,14485,2003,3156,7451
+,10838,2921,6384,4345,14434,4900,3605,4217,14987,1265,5723,4004,4261,6911,13281
+,3778,5006,4132,2332,8256,9520,7207,13349,5834,5352,8176,12169,11885,10171,5782
+,10406,12850,10083,2397,0,7852,13258,6007,9663,8619,7631,4948,11702,1191,330
+,3760,11291,4983,9710,326,9060,7120,12639,9826,1563,3198,4705,2389,14639,14208
+,3395,1774,9188,11816,5897,14377,2746,6350,8885,10683,906,14656,12681,7489,11367
+,12009,11005,10671,11032,6515,9816,9412,991,5682,3096,4275,9115,1388,13840,5787
+,11844,850,5546,9054,3088,9622,13220,9754,7681,10652,4073,891,6397,11624,7133
+,14136,1166,13969,10671,1580,8661,2398,10278,9835,12364,6222,9402,14293,13503,6772
+,11007,411,5406,13363,3719,7880,8304,14467,4462,5235,9122,4423,3752,2467,6622
+,14583,12211,8749,7968,3499,9778,816,4115,7323,8085,10577,14378,2240,12493,3575
+,8277,14095,14231,11306,3938,2518,6864,1833,14271,11716,2227,5418,12725,13164,3320
-,9359,5216,11432,1174,2242,3568,6554,5465,3124,753,9616,8330,6673,6833,451
+,9689,4086,12813,1440,4861,10413,1660,9338,7712,1946,9144,1822,12009,11382,9669
+,7805,3304,1323,10529,5230,11179,12406,11409,6670,10068,6424,1256,5054,5866,2185
+,14469,9879,7938,100,13058,2600,7738,10920,601,10067,12101,2496,11106,4873,10021
+,2210,10567,2268,7819,5100,1861,13814,3989,2458,7813,11665,8619,14609,1857,8240
+,1596,11142,3522,9545,4081,8816,2662,90,1839,12178,6544,1257,14939,4191,4664
+,9121,3408,9746,4436,11285,3894,3238,9347,1844,10344,13580,1423,9099,8648,8060
+,688,5022,4923,11104,2610,2480,6667,14236,4851,10176,4008,5283,1409,12905,14034
+,2615,11351,12092,1518,12256,2053,345,10769,8074,5078,11538,5271,2063,3265,10261
+,11678,2593,12616,333,14787,7732,12021,1318,14098,2426,7487,7929,6028,6398,1257
+,3574,2604,9446,185,8244,4075,2903,14265,12912,6019,2691,3022,13798,6958,7185
+,1174,6445,867,5390,11331,5496,9903,11517,911,10623,5549,12205,6358,1427,3672
+,9662,4418,13775,5911,12435,566,5663,1782,2332,13057,9421,1069,4332,6110,298
+,11061,4499,14873,4752,6125,5851,9124,5470,5118,13368,10012,7218,2516,1627,9078
+,7242,12478,14697,3717,3878,2943,7316,9075,7295,1140,8465,10529,5416,12612,3920
+,6613,2634,5672,5480,10776,7838,10631,11355,8353,11615,2398,11072,4126,2323,1650
-,10299,5473,263,14599,7474,700,5598,6504,5489,2134,14716,4759,13915,9343,14511
+,4511,5581,9956,4972,1946,13701,4767,10150,3507,2970,12115,12214,999,9468,266
+,1279,9840,10622,5536,3848,13855,11700,11422,3167,10921,2067,12074,6324,3546,1834
+,2360,3966,8467,14500,11957,3017,5498,8084,13170,9263,3582,11292,7553,2300,7674
+,11435,9359,1885,12855,8920,3202,12231,4541,7293,13682,7618,13952,6826,1860,2103
+,14534,14155,3569,14525,7521,8239,2011,298,1244,69,2286,10054,13336,725,7003
+,5514,14206,12779,6467,5760,12714,2748,8144,10146,3879,11556,14737,14918,10686,8011
+,10884,7527,5904,14626,4611,13825,87,11762,5515,1382,9042,6581,5072,4298,5887
+,9499,1803,8863,13678,9767,11194,13310,6327,85,10405,6088,6248,4705,2173,9951
+,2707,12912,5382,10304,8102,3659,5989,2580,5619,10695,109,4466,3183,1891,1817
+,9379,11372,7031,1416,14927,7433,33,3992,4269,4503,6688,10629,4865,6481,4175
+,2482,10804,13214,94,48,5984,233,12476,3345,9026,7026,2489,3850,8172,4837
+,3846,14924,7137,7416,5680,7973,11965,7281,10953,1963,2570,6699,8782,14054,7852
+,7282,8353,5171,4554,11285,7938,5029,879,1209,9076,3743,4864,10712,6008,12835
+,3001,4514,4358,3285,10243,7580,5766,9653,9858,7184,1163,3429,3265,5151,8053
+,8104,3857,635,8814,4699,5926,11606,1864,671,12086,1289,422,7003,1054,6583
-,333,4536,6880,1546,5898,5449,5249,4165,9075,14947,9979,13548,4831,2342,552
+,12475,11861,7935,1360,1805,5858,8249,12438,13839,4928,523,1953,11448,6540,3456
+,11886,8604,12834,13090,5306,12463,667,372,7039,11428,8208,8044,13914,6286,2607
+,8216,13681,8197,6390,8941,5433,7715,14275,10077,3104,12634,8735,3947,2164,2870
+,11982,5737,5956,9603,5343,4011,2196,11658,12565,8329,13302,12421,4416,5244,10621
+,4778,6313,1481,4449,10555,571,936,4407,12119,14653,2456,14494,13881,5970,11201
+,5226,14281,13090,816,5514,14586,6115,14361,3779,12942,10300,9667,14471,13650,12023
+,9971,750,1552,2297,11552,12053,5575,5071,9026,5513,1454,13862,4614,1209,12261
+,14989,4834,8524,10178,8802,3743,6595,611,13266,5007,6761,4631,3146,6168,16
+,6220,5957,8511,11941,3235,11752,5233,6732,11989,6807,61,11005,9843,5195,4470
+,6571,540,7386,2031,11440,8028,1382,5727,12417,14179,9684,8541,754,9081,6873
+,11561,1032,5835,1974,9117,10238,13254,11142,3576,2441,12726,5702,13560,3504,5134
+,5227,13999,3783,13985,11916,926,2145,2287,9637,12779,5339,4402,2103,10865,4687
+,2191,13575,14744,7856,7989,7565,3344,11503,10754,9490,9458,9002,2166,10016,6558
+,13714,173,5902,10244,6383,10046,6243,6599,6054,921,5771,10122,2526,8753,3012
+,5266,4789,1913,9385,11113,6211,13403,13131,7,7674,1065,5910,5917,3139,6348
-,12009,11005,10671,11032,6515,9816,9412,991,5682,3096,4275,9115,1388,13840,5787
+,10416,1369,5337,8735,9560,8353,6128,9407,14271,3961,6957,8038,1430,11439,3057
+,3272,646,9806,11300,375,14319,11577,2037,14831,12946,3672,8747,1728,10610,436
+,4827,9993,14098,12216,7173,1449,1063,14385,2310,7502,4065,13245,8422,13859,12701
+,8739,2518,8847,3348,9033,11084,7460,5143,1005,11066,3376,7031,8684,3941,13460
+,8566,3701,14667,5696,7443,10020,7413,4099,4950,10308,1021,4311,5366,10964,2970
+,6324,5241,211,7855,2665,13803,10447,6264,316,6617,10466,1953,9701,10898,2389
+,14817,950,3152,5579,14940,10115,1836,923,9166,7257,2911,8641,13511,11900,9482
+,2640,11803,14864,9429,7616,1453,2247,6604,8637,4743,2913,461,8344,7826,11379
+,4965,8401,2445,10020,7828,12985,13570,12774,2332,1522,5095,2432,14706,10197,14457
+,14207,2186,14064,13193,9038,13995,3385,10597,12836,2874,12993,9238,6125,2022,10474
+,5535,3673,6490,1613,8937,9577,4069,13332,6249,10969,12227,11494,13286,10264,9127
+,10799,2490,5411,6894,306,6444,6269,11307,2275,1479,7571,11907,9248,10747,100
+,2810,4085,12468,9723,13628,2353,521,3967,433,2916,978,8526,884,7360,11927
+,3923,6275,10849,2718,2889,12306,791,12970,13468,6676,11638,4845,12853,11270,7207
+,8207,811,5573,5887,11957,11305,14571,5382,5705,8688,1242,3159,12017,1940,9576
-,13506,618,4277,949,1311,10390,10779,12204,2966,2507,2156,2509,10785,1792,14754
+,255,10849,13799,14717,7924,7379,14606,9112,12381,11451,12711,283,8822,5360,9249
+,4995,10155,3433,5143,11793,6810,12058,4891,2559,5968,14187,6195,4183,8269,11932
+,4093,14810,4971,5583,9355,10378,12265,13527,14912,9228,12824,3972,14505,3204,12772
+,9332,5658,14760,13834,11814,1996,6105,8602,11541,7134,14249,1487,5919,1257,13224
+,9138,6085,1895,1783,4127,3401,1196,9792,13733,12129,436,12951,11540,13133,7616
+,9484,5131,11543,4344,14775,12167,4403,14718,4599,3207,8644,11568,6288,1108,9137
+,13806,186,7360,1339,13322,6257,4616,365,7783,13018,4723,11248,6971,1633,10974
+,1366,1790,14430,9646,9440,4458,10230,3102,4548,1448,14704,13335,11341,7919,6277
+,8683,5114,14172,8500,8766,2501,5192,11602,12587,4824,5178,73,10270,12149,10378
+,11648,10482,6430,11315,6620,14989,2801,12000,8759,592,7193,153,4015,11607,9715
+,12013,3379,1957,9734,4445,5354,2103,2374,4036,7794,9250,1417,10809,3713,13551
+,10526,7306,13477,13953,2191,11528,7298,7096,2407,4936,7080,9341,3339,115,1219
+,7298,6760,1712,2859,2342,6313,13999,14748,4484,2719,5411,6764,2845,475,382
+,7715,577,4683,13160,4474,9548,2969,11858,9189,10767,5940,13852,1503,4436,4284
+,1037,1175,483,13590,12453,4643,5485,14490,9435,1918,8654,2808,7712,9700,14870
-,1217,4210,14302,4624,14826,11951,8538,9078,14071,586,7095,12963,14401,826,4153
+,5247,8791,8807,6183,1834,10928,5525,12459,11338,7555,12821,7253,12994,643,4277
+,4127,7723,5520,9993,4186,5147,6104,5006,4164,9444,4220,10072,5543,8964,1014
+,6164,3942,2995,13278,4335,8946,14054,1016,6493,2037,13341,7933,8993,7605,9229
+,5480,10111,10647,8899,5147,1284,6832,7499,14748,4711,1783,6983,14317,4206,6705
+,12349,261,11775,6477,805,13492,14401,10119,13240,9665,14053,9958,3387,2102,5090
+,1746,14327,14245,5971,3571,100,985,410,5775,4496,415,9214,5799,427,2420
+,2995,1976,14510,3012,3609,1945,231,11379,14963,1569,13657,4240,7503,11602,6097
+,2398,4070,11954,1464,10014,8998,688,4906,12595,2259,2778,12358,13489,11615,9240
+,7669,14658,10704,4967,1915,945,5941,14657,8086,13778,10308,12882,6431,8048,12243
+,2101,6292,13442,14831,14375,7345,3082,12616,161,9549,12119,6458,3595,13908,418
+,13457,9244,8014,14347,11599,8862,2678,618,14637,8516,6509,6912,9541,144,5281
+,9618,5715,5118,5246,14351,6688,11734,3315,14184,8180,2446,882,10028,5209,7067
+,4849,2071,7366,7755,3457,3344,7903,11071,10232,6879,13967,14519,2205,1021,14323
+,11253,7430,11170,10992,2425,9477,2254,11901,4300,3589,10364,13587,5592,2542,5287
+,14883,6127,11248,11785,5809,6024,12028,1557,3029,12477,12106,10520,3659,1919,2358
-,688,5022,4923,11104,2610,2480,6667,14236,4851,10176,4008,5283,1409,12905,14034
+,4657,11198,9141,5000,12930,11953,1620,8447,14358,4807,6677,5966,13939,8146,2368
+,10722,5533,13977,14351,7036,1419,8107,9782,5439,12883,12060,13934,8666,309,7636
+,13332,13675,7249,9640,9285,2839,99,3239,9889,11292,899,11046,1201,1492,3916
+,10622,400,8443,7903,1366,10930,7601,255,11708,4191,14746,7121,11096,3464,11679
+,10718,10249,11070,4723,5066,2825,14693,8170,10966,9930,806,4300,4210,10169,4904
+,10308,12594,3089,1196,2594,762,14281,9156,1081,7570,6943,6794,438,13498,5605
+,5128,12181,734,6148,10450,10467,2388,6742,9240,14624,12516,9953,943,4316,6012
+,3899,1621,3350,5899,1573,12131,4310,3816,12508,3514,9588,7423,10523,13000,11051
+,10766,13208,10463,1742,7270,9578,14880,70,10112,6573,7024,6982,8604,8384,12090
+,1176,1750,9967,7743,4027,4061,11385,3535,5296,8365,11291,4533,1452,2978,3770
+,10982,11666,11256,10123,7654,10655,2172,4375,2759,1639,8218,4992,1320,10113,5550
+,6057,626,9182,7092,12021,5880,5075,11673,4261,6475,8403,717,2059,1668,1546
+,11213,3238,10166,1283,10435,300,14478,11723,12689,123,1752,12924,702,8107,10632
+,14415,1953,13214,4902,1500,3435,10093,1882,8030,14226,7734,9914,13480,9490,2578
+,3753,14262,6414,11782,10708,9923,11096,1934,6069,7096,4540,3534,7131,8686,1218
-,1746,14327,14245,5971,3571,100,985,410,5775,4496,415,9214,5799,427,2420
+,6414,3727,7402,12098,8985,14262,8603,2879,14715,432,11858,10492,8474,1652,1528
+,11519,10449,7319,13915,822,3045,7293,2888,8398,10533,6344,1819,3515,10769,11622
+,11333,12712,11880,10101,1786,13315,10551,3565,80,13998,4310,11766,10558,13941,8209
+,1055,3308,12462,2715,467,11659,14274,5299,2910,9667,14069,776,13246,7149,10212
+,3116,12628,13959,2991,13863,2121,8835,1279,3646,10615,6864,7236,6926,13065,11159
+,3190,4692,12993,1379,8651,8020,2650,14393,7595,1919,5045,11182,4553,4492,924
+,3232,9023,6373,6014,6364,9372,8760,1900,263,12728,8534,7791,2488,7869,14527
+,1092,7884,8304,3329,13173,11248,9704,3800,570,14478,6282,8155,1328,2112,715
+,4019,7768,475,14514,11381,6772,13069,9662,8453,837,7713,11528,3101,838,10344
+,5241,5568,8601,2863,12944,7788,11437,1508,4000,5839,13433,9146,12655,2865,8309
+,12929,528,14215,9670,1566,11289,14961,13763,10956,6124,1329,98,10276,7840,5724
+,12472,10935,13044,4458,6946,8591,5753,2481,3782,6864,6050,4162,14174,37,9481
+,4694,969,4926,7334,2282,6662,3761,12076,12033,5135,2648,6247,11269,4968,5527
+,6596,9540,8287,14168,1977,6512,6725,8815,10105,4733,10897,1960,9627,6086,2201
+,348,2872,465,7894,11186,2760,9433,10736,7028,6963,13322,10727,14385,13938,13027
-,10622,400,8443,7903,1366,10930,7601,255,11708,4191,14746,7121,11096,3464,11679
+,9626,12870,5564,793,4261,11260,5324,4228,6336,8283,6426,4428,475,10211,10228
+,13004,12041,7840,8067,5444,1300,11705,8449,3722,870,7763,11826,4447,9041,1290
+,8794,8998,3897,1744,3007,6127,9079,7859,8478,3897,12814,14398,8138,5041,13372
+,6373,1898,5721,13088,7055,5235,9648,10256,2506,4882,14864,10204,218,2485,14209
+,5651,8003,2011,5685,5624,7415,772,1993,4760,13170,3851,702,14679,9654,3621
+,10952,11322,13977,2022,14681,4648,13721,12568,7932,8920,12093,11809,3898,2874,9724
+,1383,2791,11804,6766,3131,9189,2547,7812,7616,6697,7884,1818,8637,8330,7671
+,3805,12285,215,12350,6735,1402,14104,14285,1055,11796,18,4436,12020,9383,1832
+,3384,14710,815,10647,3674,10806,1123,13175,11403,6787,14121,4294,5002,7485,10523
+,8989,8829,8500,6040,6951,4150,6501,2170,4934,4296,11338,2062,1247,14068,8873
+,9204,12653,3367,2933,2766,7888,14446,8123,7923,7969,4828,3794,3512,1974,14633
+,4359,6981,8449,8977,14440,8730,12335,10572,13431,8853,4912,2322,12569,5870,6147
+,8706,9066,5059,7952,9788,2638,888,9765,6038,14496,9648,9231,3348,12597,11832
+,11568,7921,3453,13253,6590,3746,1594,10732,5793,10342,4729,5526,7620,4209,13002
+,6833,11560,5646,8091,8757,3922,11866,2092,14213,7957,11022,9090,3489,13265,13210
-,6182,13086,14828,4435,14308,11172,14380,1009,7674,11634,6668,4576,9139,10874,509
+,3076,6587,9044,1051,7293,12610,13980,2227,3058,10145,14578,14518,11820,6403,328
+,3816,9728,5319,6920,12463,5530,11723,6756,3599,13363,8784,5870,715,9627,7520
+,4792,12004,5424,8917,4091,690,4388,1556,13623,7325,6549,1611,6546,11038,8657
+,5115,13306,13206,811,12382,12152,11836,11653,11180,4998,13643,13477,656,6330,4155
+,2226,2529,8968,8776,9478,7989,3267,9905,3661,12743,131,1119,1399,8572,5155
+,3159,4118,7095,9114,8473,7111,541,14817,1339,10744,3203,6148,9888,2436,14962
+,5045,4579,9055,2707,4545,2403,3611,11340,2954,3893,12330,7524,14139,12087,9713
+,2438,4990,12274,7018,14866,2174,11888,722,11995,14679,11387,13092,8454,3611,6856
+,7129,3898,13196,12062,11699,633,3114,3981,11469,1117,7474,11004,8456,9506,9752
+,11957,2800,842,749,3071,4852,7115,1800,2788,9340,7007,4975,14266,3502,12118
+,6408,12731,11328,4782,4648,1756,13569,1834,11889,7762,14809,6657,14536,12323,14538
+,11907,7515,12657,8057,8746,9540,2907,10655,3884,2027,469,3743,10994,8966,13917
+,3547,5030,11840,3904,14513,3760,3227,11215,12178,122,4851,8208,8332,13249,10925
+,5471,5692,4530,4796,1620,7223,10944,13227,2237,7714,7617,13412,2326,4808,5804
+,5724,5976,8868,12449,10814,1570,11522,8175,3047,6766,13612,3524,11324,7062,5501
-,11907,7515,12657,8057,8746,9540,2907,10655,3884,2027,469,3743,10994,8966,13917
+,7446,10551,2288,10359,12790,2014,10311,9302,14673,11833,8653,11000,8208,13842,2893
+,11562,7138,1212,7650,5562,13360,1319,1928,8105,7113,14587,3936,8467,9723,2962
+,14488,14097,9025,14375,1109,3547,14769,8540,4942,14367,5700,950,4573,4261,4108
+,589,6206,7331,9372,11843,14406,14981,13111,8744,613,9913,8720,9167,1167,8075
+,3996,7889,2146,851,2904,2037,7176,9910,9284,13513,544,2139,10943,4895,7045
+,2351,6721,7250,6699,10404,13419,13471,11197,14560,3618,2001,14936,8617,6225,6454
+,534,5368,5795,11064,13739,861,6940,10558,8479,12787,2150,9798,10826,13766,2195
+,5283,9932,12528,4999,7560,14693,1000,6051,7344,3764,6421,298,6860,10858,2914
+,6366,7475,12921,7742,3372,11720,1016,9331,11235,11541,226,11862,3938,8657,1662
+,4479,14359,5949,12812,12320,1127,2164,6532,13503,7071,1665,3590,2502,9602,4467
+,4774,12474,3335,7623,11375,9468,2364,8541,2823,13870,2641,14324,1334,105,5884
+,7625,3130,7685,7185,6273,8907,6910,2593,10581,13701,10207,5417,1509,4824,7686
+,14003,10870,11861,7508,14787,4512,4930,5395,7543,4948,5060,1965,3693,12414,12734
+,13420,4541,92,6018,587,12005,2869,13737,5749,13505,6343,10643,4556,3275,12964
+,4746,5687,12101,1796,3218,7141,13937,5144,8198,8224,4263,7792,4237,7165,9402
-,14989,4834,8524,10178,8802,3743,6595,611,13266,5007,6761,4631,3146,6168,16
+,1612,423,4347,5156,12326,1088,9174,11723,14834,9719,12281,164,7232,3869,1136
+,3928,1745,6920,8220,150,10400,9122,6004,9307,2042,10776,10187,19,2909,212
+,4795,2316,3441,5162,3735,1675,12611,5723,1658,10177,13433,8546,12610,13359,1726
+,7998,6659,1496,7681,12968,6214,13385,6180,5478,9718,10620,14141,4734,7129,2089
+,14454,14956,12515,5189,9449,3647,7306,14931,1531,11897,12598,6971,5899,2084,2041
+,1541,400,2082,5183,7038,10029,1932,2208,13423,2693,14390,8388,1343,10989,7318
+,9643,14600,8145,10482,4810,1121,5550,13561,2468,1724,10598,11685,4883,3786,7012
+,9000,4419,9269,8029,7002,5471,8810,4792,101,2370,3231,10627,8305,9511,2366
+,9598,6002,13042,6266,8195,3116,5307,9485,3751,3210,11023,2872,3753,12365,3271
+,7135,6063,254,4806,9,11330,7313,4034,12670,5250,7465,1596,6503,3671,11683
+,4030,1009,6372,2605,983,4701,7239,11604,13196,5547,4588,5863,10403,4255,2098
+,11125,4553,2316,11695,9829,13699,14130,504,1835,10297,34,1664,13399,12734,789
+,6280,7308,2708,13050,7418,266,1397,871,13493,3635,2576,11777,6419,705,14508
+,14318,8623,13796,6789,13027,8757,133,3970,7333,14972,13418,12125,9025,6258,5604
